table_name,description,DDL
DIM_COUNTRY,Country reference data,"DROP TABLE IF EXISTS DIM_COUNTRY CASCADE;
CREATE TABLE DIM_COUNTRY (
	COUNTRY_ID BIGINT PRIMARY KEY,
	COUNTRY_NAME VARCHAR(20)
);"
DIM_STATE,State reference data within countries,"DROP TABLE IF EXISTS DIM_STATE CASCADE;
CREATE TABLE DIM_STATE (
	STATE_ID BIGINT PRIMARY KEY,
	COUNTRY_ID BIGINT,
	STATE_NAME VARCHAR(100),
	FOREIGN KEY (COUNTRY_ID) REFERENCES DIM_COUNTRY (COUNTRY_ID)
);"
DIM_DISTRICT,District reference data within states,"DROP TABLE IF EXISTS DIM_DISTRICT CASCADE;
CREATE TABLE DIM_DISTRICT (
	DISTRICT_ID BIGINT PRIMARY KEY,
	STATE_ID BIGINT,
	DISTRICT_NAME VARCHAR(50),
	FOREIGN KEY (STATE_ID) REFERENCES DIM_STATE (STATE_ID)
);"
DIM_LOCATION,Sub-district and village level geographic data,"DROP TABLE IF EXISTS DIM_LOCATION CASCADE;
CREATE TABLE DIM_LOCATION (
	LOCATION_ID BIGINT PRIMARY KEY,
	DISTRICT_ID BIGINT,
	SUB_DISTRICT_NAME VARCHAR(100),
	ULB_RLB_VILLAGE_NAME VARCHAR(100),
	FOREIGN KEY (DISTRICT_ID) REFERENCES DIM_DISTRICT (DISTRICT_ID)
);"
DIM_TIME,Census year dimension,"DROP TABLE IF EXISTS DIM_TIME CASCADE;
CREATE TABLE DIM_TIME (
	TIME_ID BIGINT PRIMARY KEY,
	CENSUS_YEAR INTEGER
);"
DIM_SECTOR_CATEGORY,Rural/Urban classification dimension,"DROP TABLE IF EXISTS DIM_SECTOR_CATEGORY CASCADE;
CREATE TABLE DIM_SECTOR_CATEGORY (
	SECTOR_ID BIGINT PRIMARY KEY,
	SECTOR_CATEGORY VARCHAR(20)
);"
FACT_ESTABLISHMENT_TOTALS,Core establishment counts including mixed-use categories,"DROP TABLE IF EXISTS FACT_ESTABLISHMENT_TOTALS CASCADE;
CREATE TABLE FACT_ESTABLISHMENT_TOTALS (
	FACT_ESTABLISHMENT_TOTALS_ID BIGINT PRIMARY KEY,
	LOCATION_ID BIGINT,
	TIME_ID BIGINT,
	SECTOR_ID BIGINT,
	TOTAL_ESTABLISHMENTS DOUBLE PRECISION,
	EST_RESIDENTIAL_COMMERCIAL DOUBLE PRECISION,
	FOREIGN KEY (LOCATION_ID) REFERENCES DIM_LOCATION (LOCATION_ID),
	FOREIGN KEY (TIME_ID) REFERENCES DIM_TIME (TIME_ID),
	FOREIGN KEY (SECTOR_ID) REFERENCES DIM_SECTOR_CATEGORY (SECTOR_ID)
);"
FACT_PRIMARY_SECTOR,"Agriculture, forestry, fishing, and mining establishments","DROP TABLE IF EXISTS FACT_PRIMARY_SECTOR CASCADE;
CREATE TABLE FACT_PRIMARY_SECTOR (
	FACT_PRIMARY_SECTOR_ID BIGINT PRIMARY KEY,
	LOCATION_ID BIGINT,
	TIME_ID BIGINT,
	SECTOR_ID BIGINT,
	EST_AGRICULTURE DOUBLE PRECISION,
	EST_LIVESTOCK DOUBLE PRECISION,
	EST_FORESTRY_LOGGING DOUBLE PRECISION,
	EST_FISHING_AQUACULTURE DOUBLE PRECISION,
	EST_MINING_QUARRYING DOUBLE PRECISION,
	FOREIGN KEY (LOCATION_ID) REFERENCES DIM_LOCATION (LOCATION_ID),
	FOREIGN KEY (TIME_ID) REFERENCES DIM_TIME (TIME_ID),
	FOREIGN KEY (SECTOR_ID) REFERENCES DIM_SECTOR_CATEGORY (SECTOR_ID)
);"
FACT_SECONDARY_SECTOR,"Manufacturing, utilities, and construction establishments","DROP TABLE IF EXISTS FACT_SECONDARY_SECTOR CASCADE;
CREATE TABLE FACT_SECONDARY_SECTOR (
	FACT_SECONDARY_SECTOR_ID BIGINT PRIMARY KEY,
	LOCATION_ID BIGINT,
	TIME_ID BIGINT,
	SECTOR_ID BIGINT,
	EST_MANUFACTURING DOUBLE PRECISION,
	EST_ELECTRICITY_GAS DOUBLE PRECISION,
	EST_WATER_SUPPLY_WASTE DOUBLE PRECISION,
	EST_CONSTRUCTION DOUBLE PRECISION,
	FOREIGN KEY (LOCATION_ID) REFERENCES DIM_LOCATION (LOCATION_ID),
	FOREIGN KEY (TIME_ID) REFERENCES DIM_TIME (TIME_ID),
	FOREIGN KEY (SECTOR_ID) REFERENCES DIM_SECTOR_CATEGORY (SECTOR_ID)
);"
FACT_TRADE_SECTOR,"Wholesale, retail, and automotive trade establishments","DROP TABLE IF EXISTS FACT_TRADE_SECTOR CASCADE;
CREATE TABLE FACT_TRADE_SECTOR (
	FACT_TRADE_SECTOR_ID BIGINT PRIMARY KEY,
	LOCATION_ID BIGINT,
	TIME_ID BIGINT,
	SECTOR_ID BIGINT,
	EST_WHOLESALE_RETAIL_AUTO DOUBLE PRECISION,
	EST_WHOLESALE_TRADE DOUBLE PRECISION,
	EST_RETAIL_TRADE DOUBLE PRECISION,
	FOREIGN KEY (LOCATION_ID) REFERENCES DIM_LOCATION (LOCATION_ID),
	FOREIGN KEY (TIME_ID) REFERENCES DIM_TIME (TIME_ID),
	FOREIGN KEY (SECTOR_ID) REFERENCES DIM_SECTOR_CATEGORY (SECTOR_ID)
);"
