table_name,description,DDL
DIM_GEOGRAPHY,Geographic hierarchy for states and districts,"DROP TABLE IF EXISTS DIM_GEOGRAPHY CASCADE;
CREATE TABLE DIM_GEOGRAPHY (
	GEOGRAPHY_ID BIGINT PRIMARY KEY,
	DIST_CODE BIGINT,
	STATE_CODE BIGINT,
	STATE_NAME VARCHAR(30),
	DIST_NAME VARCHAR(100)
);"
DIM_YEAR,Time dimension for agricultural years,"DROP TABLE IF EXISTS DIM_YEAR CASCADE;
CREATE TABLE DIM_YEAR (
	YEAR_ID BIGINT PRIMARY KEY,
	YEAR INTEGER
);"
FACT_CEREALS_MAJOR,Production metrics for major cereal crops,"DROP TABLE IF EXISTS FACT_CEREALS_MAJOR CASCADE;
CREATE TABLE FACT_CEREALS_MAJOR (
	CEREAL_MAJOR_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	YEAR_ID BIGINT,
	RICE_AREA_1000HA DOUBLE PRECISION,
	RICE_PRODUCTION_1000TONS DOUBLE PRECISION,
	RICE_YIELD_KG_PER_HA DOUBLE PRECISION,
	WHEAT_AREA_1000HA DOUBLE PRECISION,
	WHEAT_PRODUCTION_1000TONS DOUBLE PRECISION,
	WHEAT_YIELD_KG_PER_HA DOUBLE PRECISION
);"
FACT_CEREALS_MINOR,Production metrics for minor cereal crops,"DROP TABLE IF EXISTS FACT_CEREALS_MINOR CASCADE;
CREATE TABLE FACT_CEREALS_MINOR (
	CEREAL_MINOR_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	YEAR_ID BIGINT,
	MAIZE_AREA_1000HA DOUBLE PRECISION,
	MAIZE_PRODUCTION_1000TONS DOUBLE PRECISION,
	MAIZE_YIELD_KG_PER_HA DOUBLE PRECISION,
	BARLEY_AREA_1000HA DOUBLE PRECISION,
	BARLEY_PRODUCTION_1000TONS DOUBLE PRECISION,
	BARLEY_YIELD_KG_PER_HA DOUBLE PRECISION
);"
FACT_COMMERCIAL_CROPS,Production metrics for commercial/fiber crops,"DROP TABLE IF EXISTS FACT_COMMERCIAL_CROPS CASCADE;
CREATE TABLE FACT_COMMERCIAL_CROPS (
	COMMERCIAL_CROP_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	YEAR_ID BIGINT,
	SUGARCANE_AREA_1000HA DOUBLE PRECISION,
	SUGARCANE_PRODUCTION_1000TONS DOUBLE PRECISION,
	SUGARCANE_YIELD_KG_PER_HA DOUBLE PRECISION,
	COTTON_AREA_1000HA DOUBLE PRECISION,
	COTTON_PRODUCTION_1000TONS DOUBLE PRECISION,
	COTTON_YIELD_KG_PER_HA DOUBLE PRECISION
);"
FACT_MILLETS,Production metrics for millet crops,"DROP TABLE IF EXISTS FACT_MILLETS CASCADE;
CREATE TABLE FACT_MILLETS (
	MILLET_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	YEAR_ID BIGINT,
	PEARL_MILLET_AREA_1000HA DOUBLE PRECISION,
	PEARL_MILLET_PRODUCTION_1000TONS DOUBLE PRECISION,
	PEARL_MILLET_YIELD_KG_PER_HA DOUBLE PRECISION,
	FINGER_MILLET_AREA_1000HA DOUBLE PRECISION,
	FINGER_MILLET_PRODUCTION_1000TONS DOUBLE PRECISION,
	FINGER_MILLET_YIELD_KG_PER_HA DOUBLE PRECISION
);"
FACT_OILSEEDS_MAJOR,Production metrics for major oilseed crops,"DROP TABLE IF EXISTS FACT_OILSEEDS_MAJOR CASCADE;
CREATE TABLE FACT_OILSEEDS_MAJOR (
	OILSEED_MAJOR_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	YEAR_ID BIGINT,
	GROUNDNUT_AREA_1000HA DOUBLE PRECISION,
	GROUNDNUT_PRODUCTION_1000TONS DOUBLE PRECISION,
	GROUNDNUT_YIELD_KG_PER_HA DOUBLE PRECISION,
	SOYABEAN_AREA_1000HA DOUBLE PRECISION,
	SOYABEAN_PRODUCTION_1000TONS DOUBLE PRECISION,
	SOYABEAN_YIELD_KG_PER_HA DOUBLE PRECISION,
	RAPESEED_MUSTARD_AREA_1000HA DOUBLE PRECISION,
	RAPESEED_MUSTARD_PRODUCTION_1000TONS DOUBLE PRECISION,
	RAPESEED_MUSTARD_YIELD_KG_PER_HA DOUBLE PRECISION
);"
FACT_OILSEEDS_MINOR,Production metrics for minor oilseed crops,"DROP TABLE IF EXISTS FACT_OILSEEDS_MINOR CASCADE;
CREATE TABLE FACT_OILSEEDS_MINOR (
	OILSEED_MINOR_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	YEAR_ID BIGINT,
	SESAMUM_AREA_1000HA DOUBLE PRECISION,
	SESAMUM_PRODUCTION_1000TONS DOUBLE PRECISION,
	SESAMUM_YIELD_KG_PER_HA DOUBLE PRECISION,
	SAFFLOWER_AREA_1000HA DOUBLE PRECISION,
	SAFFLOWER_PRODUCTION_1000TONS DOUBLE PRECISION,
	SAFFLOWER_YIELD_KG_PER_HA DOUBLE PRECISION,
	CASTOR_AREA_1000HA DOUBLE PRECISION,
	CASTOR_PRODUCTION_1000TONS DOUBLE PRECISION,
	CASTOR_YIELD_KG_PER_HA DOUBLE PRECISION,
	LINSEED_AREA_1000HA DOUBLE PRECISION,
	LINSEED_PRODUCTION_1000TONS DOUBLE PRECISION,
	LINSEED_YIELD_KG_PER_HA DOUBLE PRECISION
);"
FACT_OILSEEDS_SUNFLOWER,Production metrics for sunflower oilseed crop,"DROP TABLE IF EXISTS FACT_OILSEEDS_SUNFLOWER CASCADE;
CREATE TABLE FACT_OILSEEDS_SUNFLOWER (
	OILSEED_SUNFLOWER_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	YEAR_ID BIGINT,
	SUNFLOWER_AREA_1000HA DOUBLE PRECISION,
	SUNFLOWER_PRODUCTION_1000TONS DOUBLE PRECISION,
	SUNFLOWER_YIELD_KG_PER_HA DOUBLE PRECISION
);"
FACT_PULSES_MAJOR,Production metrics for major pulse crops,"DROP TABLE IF EXISTS FACT_PULSES_MAJOR CASCADE;
CREATE TABLE FACT_PULSES_MAJOR (
	PULSE_MAJOR_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	YEAR_ID BIGINT,
	CHICKPEA_AREA_1000HA DOUBLE PRECISION,
	CHICKPEA_PRODUCTION_1000TONS DOUBLE PRECISION,
	CHICKPEA_YIELD_KG_PER_HA DOUBLE PRECISION,
	PIGEONPEA_AREA_1000HA DOUBLE PRECISION,
	PIGEONPEA_PRODUCTION_1000TONS DOUBLE PRECISION,
	PIGEONPEA_YIELD_KG_PER_HA DOUBLE PRECISION
);"
