table_name,description,DDL
DIM_HOUSEHOLD,Core household entity with basic composition,"DROP TABLE IF EXISTS DIM_HOUSEHOLD CASCADE;
CREATE TABLE DIM_HOUSEHOLD (
	HOUSEHOLD_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_PERSON_CASE_ID BIGINT,
	HOUSEHOLD_NUMBER_OF_WORKERS DOUBLE PRECISION,
	HOUSEHOLD_NUMBER_OF_ANIMAL_CARE_WORKERS DOUBLE PRECISION,
	FARM_DECISION_MAKER_ID BIGINT
);"
DIM_GEOGRAPHY_HIERARCHY,Pure geographic hierarchy without infrastructure,"DROP TABLE IF EXISTS DIM_GEOGRAPHY_HIERARCHY CASCADE;
CREATE TABLE DIM_GEOGRAPHY_HIERARCHY (
	GEOGRAPHY_ID BIGINT PRIMARY KEY,
	STATE VARCHAR(50),
	DISTRICT_CODE BIGINT,
	PSU_VILLAGE_OR_NEIGHBORHOOD_CODE BIGINT,
	CENSUS_2001_URBAN_RURAL VARCHAR(20)
);"
DIM_VILLAGE_INFRASTRUCTURE,Village-level infrastructure and services,"DROP TABLE IF EXISTS DIM_VILLAGE_INFRASTRUCTURE CASCADE;
CREATE TABLE DIM_VILLAGE_INFRASTRUCTURE (
	INFRASTRUCTURE_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	VILLAGE_SCHOOL_AVAILABLE_INDICATOR DOUBLE PRECISION,
	VILLAGE_HEALTH_FACILITY_AVAILABLE_INDICATOR DOUBLE PRECISION,
	VILLAGE_DRINKING_WATER_SOURCE_TYPE DOUBLE PRECISION,
	VILLAGE_DRINKING_WATER_AVAILABLE_INDICATOR DOUBLE PRECISION,
	FOREIGN KEY (GEOGRAPHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (GEOGRAPHY_ID)
);"
DIM_HOUSEHOLD_SOCIAL,Social and cultural attributes of households,"DROP TABLE IF EXISTS DIM_HOUSEHOLD_SOCIAL CASCADE;
CREATE TABLE DIM_HOUSEHOLD_SOCIAL (
	SOCIAL_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID BIGINT,
	CASTE_RELIGION_GROUP_8_CATEGORY VARCHAR(30),
	SOCIAL_NETWORK_CONTACT_2_TYPE DOUBLE PRECISION,
	HOUSEHOLD_ASSETS_INDEX BIGINT,
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES DIM_HOUSEHOLD (HOUSEHOLD_ID)
);"
DIM_HOUSEHOLD_MARITAL,Marital and union information,"DROP TABLE IF EXISTS DIM_HOUSEHOLD_MARITAL CASCADE;
CREATE TABLE DIM_HOUSEHOLD_MARITAL (
	MARITAL_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID BIGINT,
	DATE_OF_MARRIAGE DOUBLE PRECISION,
	DATE_OF_GAUNA DOUBLE PRECISION,
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES DIM_HOUSEHOLD (HOUSEHOLD_ID)
);"
DIM_EDUCATION_ADULT,Adult education and literacy metrics,"DROP TABLE IF EXISTS DIM_EDUCATION_ADULT CASCADE;
CREATE TABLE DIM_EDUCATION_ADULT (
	ADULT_EDUCATION_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID BIGINT,
	HIGHEST_EDUCATION_LEVEL_AMONG_ADULTS_21_PLUS BIGINT,
	WOMAN_LITERACY_STATUS BIGINT,
	HOUSEHOLD_HEAD_EDUCATION_LEVEL DOUBLE PRECISION,
	WOMAN_EVER_ATTENDED_SCHOOL BIGINT,
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES DIM_HOUSEHOLD (HOUSEHOLD_ID)
);"
DIM_EDUCATION_CHILD,Child education metrics,"DROP TABLE IF EXISTS DIM_EDUCATION_CHILD CASCADE;
CREATE TABLE DIM_EDUCATION_CHILD (
	CHILD_EDUCATION_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID BIGINT,
	CHILD_SCHOOL_ENROLLMENT_STATUS BIGINT,
	CHILD_CURRENT_GRADE_LEVEL BIGINT,
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES DIM_HOUSEHOLD (HOUSEHOLD_ID)
);"
DIM_HEALTH_CHILD,Child health and immunization,"DROP TABLE IF EXISTS DIM_HEALTH_CHILD CASCADE;
CREATE TABLE DIM_HEALTH_CHILD (
	CHILD_HEALTH_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID BIGINT,
	CHILD_IMMUNIZATION_CARD_AVAILABLE DOUBLE PRECISION,
	LAST_BIRTH_CHILD_IMMUNIZED_BCG DOUBLE PRECISION,
	LAST_BIRTH_CHILD_IMMUNIZED_DPT1 DOUBLE PRECISION,
	HOUSEHOLD_HAS_HEALTH_INSURANCE_INDICATOR SMALLINT,
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES DIM_HOUSEHOLD (HOUSEHOLD_ID)
);"
DIM_LIVELIHOOD_INCOME,Household income sources,"DROP TABLE IF EXISTS DIM_LIVELIHOOD_INCOME CASCADE;
CREATE TABLE DIM_LIVELIHOOD_INCOME (
	INCOME_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID BIGINT,
	HOUSEHOLD_TOTAL_INCOME DOUBLE PRECISION,
	LIVESTOCK_INCOME_RS DOUBLE PRECISION,
	HOUSEHOLD_TOTAL_OUTSTANDING_LOANS_RS DOUBLE PRECISION,
	BUSINESS_1_ACTIVITY_SUBTYPE DOUBLE PRECISION,
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES DIM_HOUSEHOLD (HOUSEHOLD_ID)
);"
DIM_HOUSEHOLD_CHORES,Time allocation for basic needs collection,"DROP TABLE IF EXISTS DIM_HOUSEHOLD_CHORES CASCADE;
CREATE TABLE DIM_HOUSEHOLD_CHORES (
	CHORES_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID BIGINT,
	FUEL_COLLECTION_TIME_WOMEN_HOURS DOUBLE PRECISION,
	FUEL_COLLECTION_TIME_CHILDREN_HOURS DOUBLE PRECISION,
	WATER_COLLECTION_TIME_MINUTES DOUBLE PRECISION,
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES DIM_HOUSEHOLD (HOUSEHOLD_ID)
);"
