table_name,description,DDL
DIM_GEOGRAPHY,Geographic hierarchy and location identifiers,"DROP TABLE IF EXISTS DIM_GEOGRAPHY CASCADE;
CREATE TABLE DIM_GEOGRAPHY (
	UNIQUE_PSU_ID_CLUSTER BIGINT,
	STATE VARCHAR(50),
	DISTRICT VARCHAR(50),
	PSU_VILLAGE_OR_NEIGHBORHOOD_CODE BIGINT
);"
DIM_HOUSEHOLD,Household identification and structure,"DROP TABLE IF EXISTS DIM_HOUSEHOLD CASCADE;
CREATE TABLE DIM_HOUSEHOLD (
	UNIQUE_HOUSEHOLD_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID_3_DIGIT BIGINT,
	SPLIT_HOUSEHOLD_ID BIGINT,
	ROSTER_ID_WITHIN_2012_HOUSEHOLD BIGINT
);"
DIM_PERSON,Individual person identification,"DROP TABLE IF EXISTS DIM_PERSON CASCADE;
CREATE TABLE DIM_PERSON (
	UNIQUE_PERSON_ID BIGINT PRIMARY KEY
);"
DIM_STATISTICAL_WEIGHTS,Statistical weighting factors for survey data,"DROP TABLE IF EXISTS DIM_STATISTICAL_WEIGHTS CASCADE;
CREATE TABLE DIM_STATISTICAL_WEIGHTS (
	WEIGHT_ID BIGINT PRIMARY KEY,
	PERSON_WEIGHT_2012 DOUBLE PRECISION,
	INTEGER_PERSON_WEIGHT_2012 BIGINT
);"
FACT_AGRICULTURAL_INCOME,Income from agricultural activities,"DROP TABLE IF EXISTS FACT_AGRICULTURAL_INCOME CASCADE;
CREATE TABLE FACT_AGRICULTURAL_INCOME (
	AGRICULTURAL_INCOME_ID BIGINT PRIMARY KEY,
	UNIQUE_HOUSEHOLD_ID BIGINT,
	INCOME_FROM_CROPS_MINUS_EXPENSES DOUBLE PRECISION,
	INCOME_FROM_RENTED_LAND_AND_OTHER_PROPERTY BIGINT,
	INCOME_FROM_ANIMALS_MARKET_PLUS_HOME_MINUS_COST DOUBLE PRECISION,
	TOTAL_AGRICULTURAL_INCOME_MINUS_EXPENSES DOUBLE PRECISION
);"
FACT_BUSINESS_INCOME,Income from business operations,"DROP TABLE IF EXISTS FACT_BUSINESS_INCOME CASCADE;
CREATE TABLE FACT_BUSINESS_INCOME (
	BUSINESS_INCOME_ID BIGINT PRIMARY KEY,
	UNIQUE_HOUSEHOLD_ID BIGINT,
	BUSINESS1_NET_INCOME_RUPEES DOUBLE PRECISION,
	BUSINESS2_NET_INCOME_RUPEES DOUBLE PRECISION,
	BUSINESS3_NET_INCOME_RUPEES DOUBLE PRECISION,
	TOTAL_BUSINESS_NET_INCOME DOUBLE PRECISION
);"
FACT_EDUCATION_EXPENDITURE,Education-related costs at individual level,"DROP TABLE IF EXISTS FACT_EDUCATION_EXPENDITURE CASCADE;
CREATE TABLE FACT_EDUCATION_EXPENDITURE (
	EDUCATION_EXPENDITURE_ID BIGINT PRIMARY KEY,
	UNIQUE_PERSON_ID BIGINT,
	SCHOOL_FEES_RUPEES DOUBLE PRECISION,
	BOOKS_UNIFORM_COST_RUPEES DOUBLE PRECISION,
	BUS_COST_RUPEES DOUBLE PRECISION,
	PRIVATE_TUITION_COST_RUPEES DOUBLE PRECISION
);"
FACT_HEALTH_EXPENDITURE,Healthcare costs and insurance coverage,"DROP TABLE IF EXISTS FACT_HEALTH_EXPENDITURE CASCADE;
CREATE TABLE FACT_HEALTH_EXPENDITURE (
	HEALTH_EXPENDITURE_ID BIGINT PRIMARY KEY,
	UNIQUE_PERSON_ID BIGINT,
	MAJOR_MORBIDITY_DOCTOR_HOSPITAL_COST_RUPEES DOUBLE PRECISION,
	MAJOR_MORBIDITY_MEDICINE_COST_RUPEES DOUBLE PRECISION,
	MAJOR_MORBIDITY_INSURANCE_COVERED_EXPENDITURE_RUPEES DOUBLE PRECISION
);"
FACT_HOUSEHOLD_CONSUMPTION,Household consumption and expenditure metrics,"DROP TABLE IF EXISTS FACT_HOUSEHOLD_CONSUMPTION CASCADE;
CREATE TABLE FACT_HOUSEHOLD_CONSUMPTION (
	HOUSEHOLD_CONSUMPTION_ID BIGINT PRIMARY KEY,
	UNIQUE_HOUSEHOLD_ID BIGINT,
	TOTAL_HOUSEHOLD_CONSUMPTION_EXPENDITURE DOUBLE PRECISION,
	HOUSEHOLD_CONSUMPTION_EXPENDITURE_PER_CAPITA DOUBLE PRECISION
);"
FACT_HOUSEHOLD_INCOME_SUMMARY,Aggregated household income metrics,"DROP TABLE IF EXISTS FACT_HOUSEHOLD_INCOME_SUMMARY CASCADE;
CREATE TABLE FACT_HOUSEHOLD_INCOME_SUMMARY (
	HOUSEHOLD_INCOME_SUMMARY_ID BIGINT PRIMARY KEY,
	UNIQUE_HOUSEHOLD_ID BIGINT,
	TOTAL_HOUSEHOLD_INCOME DOUBLE PRECISION,
	HOUSEHOLD_PER_CAPITA_INCOME DOUBLE PRECISION
);"
