table_name,description,DDL
DIM_GEOGRAPHY_HIERARCHY,Normalized geographic hierarchy with proper 3NF structure,"DROP TABLE IF EXISTS DIM_GEOGRAPHY_HIERARCHY CASCADE;
CREATE TABLE DIM_GEOGRAPHY_HIERARCHY (
	GEOGRAPHY_ID BIGINT PRIMARY KEY,
	STATE_CODE VARCHAR(50),
	DISTRICT_CODE BIGINT,
	PSU_CODE BIGINT
);"
DIM_GEOGRAPHY_DETAIL,Geographic location details for various contexts,"DROP TABLE IF EXISTS DIM_GEOGRAPHY_DETAIL CASCADE;
CREATE TABLE DIM_GEOGRAPHY_DETAIL (
	LOCATION_ID BIGINT PRIMARY KEY,
	LOCATION_NAME VARCHAR(30)
);"
DIM_HOUSEHOLD_STATUS,Household completion and tracking status codes,"DROP TABLE IF EXISTS DIM_HOUSEHOLD_STATUS CASCADE;
CREATE TABLE DIM_HOUSEHOLD_STATUS (
	HOUSEHOLD_STATUS_ID BIGINT PRIMARY KEY,
	COMPLETION_STATUS VARCHAR(30),
	COMPLETION_STATUS_OTHER VARCHAR(50)
);"
DIM_PERSON_STATUS,Person tracking and relationship status codes,"DROP TABLE IF EXISTS DIM_PERSON_STATUS CASCADE;
CREATE TABLE DIM_PERSON_STATUS (
	PERSON_STATUS_ID BIGINT PRIMARY KEY,
	TRACKING_STATUS BIGINT,
	RELATIONSHIP_TO_HEAD VARCHAR(30)
);"
DIM_DEMOGRAPHIC_CODES,Standardized codes for demographic attributes,"DROP TABLE IF EXISTS DIM_DEMOGRAPHIC_CODES CASCADE;
CREATE TABLE DIM_DEMOGRAPHIC_CODES (
	DEMOGRAPHIC_CODE_ID BIGINT PRIMARY KEY,
	SEX_CODE VARCHAR(20),
	MARITAL_STATUS_CODE VARCHAR(20)
);"
DIM_OCCUPATION_CODES,Standardized occupation classification system,"DROP TABLE IF EXISTS DIM_OCCUPATION_CODES CASCADE;
CREATE TABLE DIM_OCCUPATION_CODES (
	OCCUPATION_ID BIGINT PRIMARY KEY,
	OCCUPATION_CODE VARCHAR(50),
	OCCUPATION_DESCRIPTION VARCHAR(50)
);"
DIM_EMPLOYMENT_STATUS,Employment and activity status classification,"DROP TABLE IF EXISTS DIM_EMPLOYMENT_STATUS CASCADE;
CREATE TABLE DIM_EMPLOYMENT_STATUS (
	EMPLOYMENT_STATUS_ID BIGINT PRIMARY KEY,
	ACTIVITY_STATUS VARCHAR(30),
	EMPLOYMENT_TYPE VARCHAR(30)
);"
DIM_MIGRATION_REASONS,Standardized migration reason codes,"DROP TABLE IF EXISTS DIM_MIGRATION_REASONS CASCADE;
CREATE TABLE DIM_MIGRATION_REASONS (
	MIGRATION_REASON_ID BIGINT PRIMARY KEY,
	REASON_DESCRIPTION VARCHAR(30)
);"
FACT_HOUSEHOLD_CORE,Core household identification and structure,"DROP TABLE IF EXISTS FACT_HOUSEHOLD_CORE CASCADE;
CREATE TABLE FACT_HOUSEHOLD_CORE (
	HOUSEHOLD_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	HOUSEHOLD_STATUS_ID BIGINT,
	HOUSEHOLD_NUMBER DOUBLE PRECISION,
	HOUSEHOLD_SPLIT_NUMBER DOUBLE PRECISION,
	NEW_HOUSEHOLD_SPLIT_NUMBER DOUBLE PRECISION,
	FOREIGN KEY (GEOGRAPHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (GEOGRAPHY_ID),
	FOREIGN KEY (HOUSEHOLD_STATUS_ID) REFERENCES DIM_HOUSEHOLD_STATUS (HOUSEHOLD_STATUS_ID)
);"
FACT_PERSON_CORE,Core person demographic information,"DROP TABLE IF EXISTS FACT_PERSON_CORE CASCADE;
CREATE TABLE FACT_PERSON_CORE (
	PERSON_ID BIGINT PRIMARY KEY,
	HOUSEHOLD_ID BIGINT,
	PERSON_STATUS_ID BIGINT,
	DEMOGRAPHIC_CODE_ID BIGINT,
	CURRENT_LOCATION_ID BIGINT,
	PERSON_NUMBER DOUBLE PRECISION,
	AGE BIGINT,
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES FACT_HOUSEHOLD_CORE (HOUSEHOLD_ID),
	FOREIGN KEY (PERSON_STATUS_ID) REFERENCES DIM_PERSON_STATUS (PERSON_STATUS_ID),
	FOREIGN KEY (DEMOGRAPHIC_CODE_ID) REFERENCES DIM_DEMOGRAPHIC_CODES (DEMOGRAPHIC_CODE_ID),
	FOREIGN KEY (CURRENT_LOCATION_ID) REFERENCES DIM_GEOGRAPHY_DETAIL (LOCATION_ID)
);"
