table_name,description,DDL
DIM_COUNTRY,Geographic hierarchy - countries,"DROP TABLE IF EXISTS DIM_COUNTRY CASCADE;
CREATE TABLE DIM_COUNTRY (
	COUNTRY_ID BIGINT PRIMARY KEY,
	COUNTRY VARCHAR(20)
);"
DIM_STATE,Geographic hierarchy - states/provinces within countries,"DROP TABLE IF EXISTS DIM_STATE CASCADE;
CREATE TABLE DIM_STATE (
	STATE_ID BIGINT PRIMARY KEY,
	STATE VARCHAR(100)
);"
DIM_STATION,Water monitoring stations with their location and type of water body,"DROP TABLE IF EXISTS DIM_STATION CASCADE;
CREATE TABLE DIM_STATION (
	STATION_ID BIGINT PRIMARY KEY,
	STATION_CODE DOUBLE PRECISION,
	STATION_NAME VARCHAR(500),
	TYPE_OF_WATER_BODY VARCHAR(50)
);"
DIM_TIME,Time dimension (year granularity),"DROP TABLE IF EXISTS DIM_TIME CASCADE;
CREATE TABLE DIM_TIME (
	YEAR INTEGER
);"
FACT_CHEMICAL_CONTAMINANTS,Chemical contaminant measurements (fluoride and arsenic),"DROP TABLE IF EXISTS FACT_CHEMICAL_CONTAMINANTS CASCADE;
CREATE TABLE FACT_CHEMICAL_CONTAMINANTS (
	FACT_CHEMICAL_CONTAMINANTS_ID BIGINT PRIMARY KEY,
	STATION_ID BIGINT,
	YEAR INTEGER,
	MIN_FLUORIDE_MG_PER_L DOUBLE PRECISION,
	MAX_FLUORIDE_MG_PER_L DOUBLE PRECISION,
	MIN_ARSENIC_MG_PER_L DOUBLE PRECISION,
	MAX_ARSENIC_MG_PER_L DOUBLE PRECISION
);"
FACT_COLIFORMS,Coliform bacteria measurements (fecal and total),"DROP TABLE IF EXISTS FACT_COLIFORMS CASCADE;
CREATE TABLE FACT_COLIFORMS (
	FACT_COLIFORMS_ID BIGINT PRIMARY KEY,
	STATION_ID BIGINT,
	YEAR INTEGER,
	MIN_FECAL_COLIFORM_MPN_PER_100ML VARCHAR(100),
	MAX_FECAL_COLIFORM_MPN_PER_100ML DOUBLE PRECISION,
	MIN_TOTAL_COLIFORM_MPN_PER_100ML VARCHAR(50),
	MAX_TOTAL_COLIFORM_MPN_PER_100ML DOUBLE PRECISION,
	MIN_FAECAL_COLIFORM_FAECAL_MATTER_MPN_PER_100ML DOUBLE PRECISION,
	MAX_FAECAL_COLIFORM_FAECAL_MATTER_MPN_PER_100ML DOUBLE PRECISION
);"
FACT_NUTRIENTS,Nitrogen-based nutrient measurements,"DROP TABLE IF EXISTS FACT_NUTRIENTS CASCADE;
CREATE TABLE FACT_NUTRIENTS (
	FACT_NUTRIENTS_ID BIGINT PRIMARY KEY,
	STATION_ID BIGINT,
	YEAR INTEGER,
	MIN_NITRATE_N_NITRITE_N_MG_PER_L DOUBLE PRECISION,
	MAX_NITRATE_N_NITRITE_N_MG_PER_L DOUBLE PRECISION,
	MIN_NITRATE_N_MG_PER_L DOUBLE PRECISION,
	MAX_NITRATE_N_MG_PER_L DOUBLE PRECISION
);"
FACT_OXYGEN_DEMAND,Dissolved oxygen and biochemical oxygen demand measurements,"DROP TABLE IF EXISTS FACT_OXYGEN_DEMAND CASCADE;
CREATE TABLE FACT_OXYGEN_DEMAND (
	FACT_OXYGEN_DEMAND_ID BIGINT PRIMARY KEY,
	STATION_ID BIGINT,
	YEAR INTEGER,
	MIN_DISSOLVED_OXYGEN_MG_PER_L DOUBLE PRECISION,
	MAX_DISSOLVED_OXYGEN_MG_PER_L DOUBLE PRECISION,
	MIN_BOD_MG_PER_L VARCHAR(200),
	MAX_BOD_MG_PER_L VARCHAR(100)
);"
FACT_PARTICULATES,Total dissolved solids measurements,"DROP TABLE IF EXISTS FACT_PARTICULATES CASCADE;
CREATE TABLE FACT_PARTICULATES (
	FACT_PARTICULATES_ID BIGINT PRIMARY KEY,
	STATION_ID BIGINT,
	YEAR INTEGER,
	MIN_TOTAL_DISSOLVED_SOLIDS_MG_PER_L DOUBLE PRECISION,
	MAX_TOTAL_DISSOLVED_SOLIDS_MG_PER_L DOUBLE PRECISION
);"
FACT_STREPTOCOCCI,Fecal streptococci measurements,"DROP TABLE IF EXISTS FACT_STREPTOCOCCI CASCADE;
CREATE TABLE FACT_STREPTOCOCCI (
	FACT_STREPTOCOCCI_ID BIGINT PRIMARY KEY,
	STATION_ID BIGINT,
	YEAR INTEGER,
	MIN_FECAL_STREPTOCOCCI_MPN_PER_100ML DOUBLE PRECISION,
	MAX_FECAL_STREPTOCOCCI_MPN_PER_100ML DOUBLE PRECISION
);"
FACT_THERMAL,Temperature measurements at each station by year,"DROP TABLE IF EXISTS FACT_THERMAL CASCADE;
CREATE TABLE FACT_THERMAL (
	FACT_THERMAL_ID BIGINT PRIMARY KEY,
	STATION_ID BIGINT,
	YEAR INTEGER,
	MIN_TEMPERATURE_C DOUBLE PRECISION,
	MAX_TEMPERATURE_C DOUBLE PRECISION
);"
FACT_WATER_CHEMISTRY,pH and conductivity measurements,"DROP TABLE IF EXISTS FACT_WATER_CHEMISTRY CASCADE;
CREATE TABLE FACT_WATER_CHEMISTRY (
	FACT_WATER_CHEMISTRY_ID BIGINT PRIMARY KEY,
	STATION_ID BIGINT,
	YEAR INTEGER,
	MIN_PH DOUBLE PRECISION,
	MAX_PH DOUBLE PRECISION,
	MIN_CONDUCTIVITY_UMHOS_PER_CM DOUBLE PRECISION,
	MAX_CONDUCTIVITY_UMHOS_PER_CM DOUBLE PRECISION
);"
