table_name,description,DDL
DIM_COUNTRY,Country-level geographic dimension,"DROP TABLE IF EXISTS DIM_COUNTRY CASCADE;
CREATE TABLE DIM_COUNTRY (
	COUNTRY_ID BIGINT PRIMARY KEY,
	COUNTRY_NAME VARCHAR(20)
);"
DIM_DISTRICT,District-level geographic dimension with state hierarchy,"DROP TABLE IF EXISTS DIM_DISTRICT CASCADE;
CREATE TABLE DIM_DISTRICT (
	DISTRICT_ID BIGINT PRIMARY KEY,
	DISTRICT_NAME VARCHAR(50)
);"
DIM_GEOGRAPHY,Village-level geographic dimension with sub-district granularity,"DROP TABLE IF EXISTS DIM_GEOGRAPHY CASCADE;
CREATE TABLE DIM_GEOGRAPHY (
	GEOGRAPHY_ID BIGINT PRIMARY KEY,
	SUB_DISTRICT VARCHAR(100),
	ULB_RLB_VILLAGE VARCHAR(100)
);"
DIM_STATE,State-level geographic dimension with country hierarchy,"DROP TABLE IF EXISTS DIM_STATE CASCADE;
CREATE TABLE DIM_STATE (
	STATE_ID BIGINT PRIMARY KEY,
	STATE_NAME VARCHAR(100)
);"
DIM_TIME,Temporal dimension for tracking data collection periods,"DROP TABLE IF EXISTS DIM_TIME CASCADE;
CREATE TABLE DIM_TIME (
	TIME_ID BIGINT PRIMARY KEY,
	RECORD_DATE VARCHAR(255),
	YEAR VARCHAR(255),
	QUARTER VARCHAR(255),
	MONTH VARCHAR(255)
);"
FACT_ALTERNATIVE_TRANSPORT_ACCESSIBILITY,"Distance to alternative transportation modes (waterways, footpaths)","DROP TABLE IF EXISTS FACT_ALTERNATIVE_TRANSPORT_ACCESSIBILITY CASCADE;
CREATE TABLE FACT_ALTERNATIVE_TRANSPORT_ACCESSIBILITY (
	ALT_TRANSPORT_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	DISTANCE_TO_NAVIGABLE_WATERWAYS VARCHAR(50),
	DISTANCE_TO_FOOTPATH VARCHAR(50)
);"
FACT_CIVIC_SERVICES_ACCESSIBILITY,Distance to civic and administrative services,"DROP TABLE IF EXISTS FACT_CIVIC_SERVICES_ACCESSIBILITY CASCADE;
CREATE TABLE FACT_CIVIC_SERVICES_ACCESSIBILITY (
	CIVIC_SERVICES_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	DISTANCE_TO_ASSEMBLY_POLLING_STATION VARCHAR(50),
	DISTANCE_TO_BIRTH_DEATH_REGISTRATION_OFFICE VARCHAR(50)
);"
FACT_EDUCATION_INFORMATION_ACCESSIBILITY,Distance to education and information access facilities,"DROP TABLE IF EXISTS FACT_EDUCATION_INFORMATION_ACCESSIBILITY CASCADE;
CREATE TABLE FACT_EDUCATION_INFORMATION_ACCESSIBILITY (
	EDUCATION_INFO_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	DISTANCE_TO_PUBLIC_LIBRARY VARCHAR(50),
	DISTANCE_TO_PUBLIC_READING_ROOM VARCHAR(50),
	DISTANCE_TO_DAILY_NEWSPAPER_SUPPLY VARCHAR(50)
);"
FACT_FINANCIAL_SERVICES_ACCESSIBILITY,Distance to banking and financial institutions,"DROP TABLE IF EXISTS FACT_FINANCIAL_SERVICES_ACCESSIBILITY CASCADE;
CREATE TABLE FACT_FINANCIAL_SERVICES_ACCESSIBILITY (
	FINANCIAL_SERVICES_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	DISTANCE_TO_ATM VARCHAR(50),
	DISTANCE_TO_COMMERCIAL_BANK VARCHAR(50),
	DISTANCE_TO_COOPERATIVE_BANK VARCHAR(50),
	DISTANCE_TO_AGRICULTURAL_CREDIT_SOCIETIES VARCHAR(50),
	DISTANCE_TO_SELF_HELP_GROUP VARCHAR(50)
);"
FACT_HEALTH_NUTRITION_ACCESSIBILITY,Distance to health and nutritional centers,"DROP TABLE IF EXISTS FACT_HEALTH_NUTRITION_ACCESSIBILITY CASCADE;
CREATE TABLE FACT_HEALTH_NUTRITION_ACCESSIBILITY (
	HEALTH_NUTRITION_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	DISTANCE_TO_ICDS_NUTRITIONAL_CENTRE VARCHAR(50),
	DISTANCE_TO_ANGANWADI_CENTRE VARCHAR(50),
	DISTANCE_TO_OTHER_NUTRITIONAL_CENTRE VARCHAR(50),
	DISTANCE_TO_ASHA_HEALTH_ACTIVIST VARCHAR(50)
);"
FACT_MARKET_ACCESSIBILITY,Distance to market and trading facilities,"DROP TABLE IF EXISTS FACT_MARKET_ACCESSIBILITY CASCADE;
CREATE TABLE FACT_MARKET_ACCESSIBILITY (
	MARKET_ACCESSIBILITY_ID BIGINT PRIMARY KEY,
	GEOGRAPHY_ID BIGINT,
	DISTANCE_TO_PUBLIC_DISTRIBUTION_SYSTEM_SHOP VARCHAR(50),
	DISTANCE_TO_MANDIS_REGULAR_MARKET SMALLINT,
	DISTANCE_TO_WEEKLY_HAAT VARCHAR(50),
	DISTANCE_TO_AGRICULTURAL_MARKETING_SOCIETY VARCHAR(50)
);"
