DISTRICT_ID,DISTRICT_NAME
1,North And Middle Andaman
2,South Andamans
3,Nicobars
4,Prakasam
5,Anantapur
6,Visakhapatanam
7,Guntur
8,Spsr Nellore
9,West Godavari
10,Srikakulam
11,Kurnool
12,Chittoor
13,East Godavari
14,Krishna
15,Y.S.R.
16,Vizianagaram
17,Tawang
18,Kra Daadi
19,Lower Subansiri
20,East Kameng
21,Papum Pare
22,Shi Yomi
23,Anjaw
24,Lower Dibang Valley
25,Kurung Kumey
26,West Kameng
27,Kamle
28,Siang
29,Dibang Valley
30,Changlang
31,West Siang
32,Namsai
33,Upper Subansiri
34,Upper Siang
35,Unknown Districts Of India
36,Pakke Kessang
37,Lower Siang
38,Tirap
39,Lohit
40,Leparada
41,Longding
42,East Siang
43,Kamrup
44,Sonitpur
45,Dibrugarh
46,Tinsukia
47,Charaideo
48,Nagaon
49,Baksa
50,Kokrajhar
51,Lakhimpur
52,Majuli
53,Sivasagar
54,Golaghat
55,Goalpara
56,Marigaon
57,Karimganj
58,Dhemaji
59,Udalguri
60,Chirang
61,Biswanath
62,Barpeta
63,Karbi Anglong
64,Jorhat
65,Dhubri
66,Nalbari
67,Cachar
68,Bongaigaon
69,Hailakandi
70,Darrang
71,Kamrup Metro
72,South Salmara Mancachar
73,West Karbi Anglong
74,Hojai
75,Dima Hasao
76,Pashchim Champaran
77,Banka
78,Begusarai
79,Samastipur
80,Katihar
81,Muzaffarpur
82,Madhepura
83,Kaimur (Bhabua)
84,Bhagalpur
85,Gopalganj
86,Darbhanga
87,Gaya
88,Kishanganj
89,Patna
90,Madhubani
91,Purbi Champaran
92,Bhojpur
93,Nawada
94,Sitamarhi
95,Saharsa
96,Vaishali
97,Purnia
98,Khagaria
99,Nalanda
100,Araria
101,Siwan
102,Jehanabad
103,Buxar
104,Saran
105,Supaul
106,Munger
107,Rohtas
108,Sheikhpura
109,Aurangabad
110,Lakhisarai
111,Jamui
112,Sheohar
113,Arwal
114,Chandigarh
115,Mungeli
116,Raigarh
117,Gariyaband
118,Mahasamund
119,Bijapur
120,Kanker
121,Kabirdham
122,Rajnandgaon
123,Narayanpur
124,Janjgir-Champa
125,Baloda Bazar
126,Kondagaon
127,Bilaspur
128,Jashpur
129,Bastar
130,Sukma
131,Gaurella Pendra Marwahi
132,Surguja
133,Korba
134,Korea
135,Balod
136,Bemetara
137,Dhamtari
138,Surajpur
139,Dantewada
140,Durg
141,Raipur
142,Balrampur
143,North
144,North East
145,North West
146,South West
147,North Goa
148,South Goa
149,Devbhumi Dwarka
150,Narmada
151,Tapi
152,Gir Somnath
153,Kachchh
154,Banas Kantha
155,Junagadh
156,Rajkot
157,Ahmadabad
158,Vadodara
159,Botad
160,Patan
161,Bhavnagar
162,Surat
163,Sabar Kantha
164,Jamnagar
165,Gandhinagar
166,Mahesana
167,Chhotaudepur
168,Panch Mahals
169,Valsad
170,Navsari
171,Arvalli
172,Dohad
173,Surendranagar
174,Kheda
175,Mahisagar
176,Amreli
177,Anand
178,Morbi
179,Bharuch
180,Dang
181,Porbandar
182,Mahendragarh
183,Karnal
184,Rewari
185,Panchkula
186,Sirsa
187,Nuh
188,Jhajjar
189,Palwal
190,Yamunanagar
191,Gurugram
192,Ambala
193,Kaithal
194,Charki Dadri
195,Jind
196,Faridabad
197,Kurukshetra
198,Fatehabad
199,Bhiwani
200,Panipat
201,Hisar
202,Sonipat
203,Rohtak
204,Solan
205,Chamba
206,Hamirpur
207,Mandi
208,Shimla
209,Kinnaur
210,Kangra
211,Lahul And Spiti
212,Una
213,Sirmaur
214,Kullu
215,Udhampur
216,Baramulla
217,Ramban
218,Kathua
219,Pulwama
220,Budgam
221,Rajouri
222,Jammu
223,Anantnag
224,Poonch
225,Kupwara
226,Kishtwar
227,Ganderbal
228,Kulgam
229,Doda
230,Samba
231,Shopian
232,Reasi
233,Bandipora
234,Pakur
235,Palamu
236,East Singhbum
237,Khunti
238,Simdega
239,Dhanbad
240,Bokaro
241,Hazaribagh
242,Deoghar
243,Jamtara
244,Giridih
245,Ranchi
246,West Singhbhum
247,Gumla
248,Garhwa
249,Koderma
250,Ramgarh
251,Dumka
252,Sahebganj
253,Latehar
254,Lohardaga
255,Godda
256,Saraikela Kharsawan
257,Chatra
258,Shivamogga
259,Vijayapura
260,Dharwad
261,Bidar
262,Ramanagara
263,Chikkamagaluru
264,Chitradurga
265,Belagavi
266,Udupi
267,Bagalkote
268,Kalaburagi
269,Yadgir
270,Koppal
271,Ballari
272,Raichur
273,Mandya
274,Dakshina Kannada
275,Uttara Kannada
276,Mysuru
277,Davangere
278,Tumakuru
279,Bengaluru Urban
280,Chamarajanagara
281,Haveri
282,Gadag
283,Kodagu
284,Chikkaballapura
285,Hassan
286,Kolar
287,Bengaluru Rural
288,Alappuzha
289,Kollam
290,Thiruvananthapuram
291,Malappuram
292,Wayanad
293,Idukki
294,Kottayam
295,Kannur
296,Palakkad
297,Kasaragod
298,Thrissur
299,Kozhikode
