GEOGRAPHY_ID,SUB_DISTRICT,ULB_RLB_VILLAGE
1,Diglipur,Laxmipur (Rv)
2,Rangat,Adojig (Rv) (Including Efa)
3,Ferrargunj,Manpur (Rv)
4,Diglipur,Mohanpur (Rv)
5,Ferrargunj,Hobdipur (Rv)
6,Ferrargunj,North Bay (Rv)
7,Car Nicobar,Mus
8,Diglipur,Subhashgram (Rv)
9,Ferrargunj,Namunaghar (Rv)
10,Port Blair,Chidiyatapu (Wls)
11,Rangat,Raglachang (Rv)
12,Great Nicobar,Gandhi Nagar
13,Rangat,Abaygarh (Rv)
14,Nancowry,Sonomkuwa*
15,Diglipur,Land Fall Island (Police Post)
16,Rangat,Middle Strait (Jppc)
17,Great Nicobar,Ayouk
18,Diglipur,Aam Tikry (Fdca)
19,Great Nicobar,Pulotalia/Pulotohio
20,Ferrargunj,Tirur (Jppc)
21,Little Andaman,Forest Camp At 14 Km 5 - I (Fdca)
22,Nancowry,Mapayala*
23,Little Andaman,M/S Asia & Company (Asia Timber Product)
24,Rangat,Gol Pahar (Efa)
25,Diglipur,Ramakrishnagram (Rv)
26,Ferrargunj,Wimberlygunj (Rv)
27,Diglipur,Krishnapuri (Rv)
28,Nancowry,Kuitasuk
29,Pullalacheruvu,Mutukula
30,Obuladevaracheruvu,Daburuvaripalle
31,Golugonda,Gundupala
32,Kollipara,Thumuluru
33,Agali,Narasambudi
34,Kaluvoya,Kanupurupalle
35,Chintalapudi,Recharla
36,Nagaram,Pedapalle
37,Pathapatnam,Pathapatnam
38,Gonegandla,Errabadu
39,Raptadu,Raptadu (Part)
40,Madanapalle,Kothavaripalle
41,Peddapuram,Vadlamuru
42,Kallur,Pedda Tekur
43,Konakanamitla,Konakanamitla
44,Peddapanjani,Kolathur
45,Kothuru,Neradi
46,Regidi Amadalavalasa,Sankili
47,Tadikonda,Damarapalle
48,Kothapalle,Guvvalakunta
49,Gudipala,Bomma Samudram
50,Kanchili,Talatampara
51,Pamidimukkala,Pamidimukkala
52,Konakanamitla,Siddavaram
53,Kolimigundla,Chintalayapalle
54,Markapur,Chintakunta
55,Chennur,Ramanapalle (Part)
56,Atmakur,Goridindla
57,Nidamarru,Chinanindrakolanu
58,Atchutapuram,Haripalem
59,Tarlupadu,Chenna Reddi Palle
60,Dornipadu,Dornipadu
61,Akividu,Akividu
62,Pagidyala,Laxmapuram
63,Chinnamandem,Chinnamandem
64,Bathalapalle,Malyavantham
65,Peapally,Racherla
66,Narpala,Narpala
67,Chittoor,Mapakshi
68,T.Narasapuram,Vallampatla
69,Ipur,Kondramutla
70,Tadikonda,Bandarupalle
71,Beluguppa,Sreerangapuram
72,Zarugumalli,Zarugumilli
73,Tripuranthakam,Tripuranthakam
74,Bommanahal,D.Honnur
75,Kajuluru,Pallipalem
76,Lingala,Parnapalle
77,Nuzvid,Pallerlamudi
78,Kirlampudi,Jagapathinagaram
79,Devarapalle,Gowripatnam
80,Panyam,Gorukallu
81,Narasaraopet,Ikkurru
82,Uyyalawada,Uyyalawada
