table_name,description,DDL
DIM_COUNTRY,Country-level geographic dimension,"DROP TABLE IF EXISTS DIM_COUNTRY CASCADE;
CREATE TABLE DIM_COUNTRY (
	COUNTRY_ID BIGINT PRIMARY KEY,
	COUNTRY_NAME VARCHAR(20)
);"
DIM_DISTRICT,District-level geographic dimension,"DROP TABLE IF EXISTS DIM_DISTRICT CASCADE;
CREATE TABLE DIM_DISTRICT (
	DISTRICT_ID BIGINT PRIMARY KEY,
	DISTRICT_NAME VARCHAR(50)
);"
DIM_STATE,State-level geographic dimension,"DROP TABLE IF EXISTS DIM_STATE CASCADE;
CREATE TABLE DIM_STATE (
	STATE_ID BIGINT PRIMARY KEY,
	STATE_NAME VARCHAR(100)
);"
DIM_SUB_DISTRICT,Sub-district-level geographic dimension,"DROP TABLE IF EXISTS DIM_SUB_DISTRICT CASCADE;
CREATE TABLE DIM_SUB_DISTRICT (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	SUB_DISTRICT_NAME VARCHAR(100)
);"
FACT_COMMUNICATIONS,"Postal, telegraph, and telecommunication services","DROP TABLE IF EXISTS FACT_COMMUNICATIONS CASCADE;
CREATE TABLE FACT_COMMUNICATIONS (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	NUMBER_OF_POST_OFFICES DOUBLE PRECISION,
	NUMBER_OF_TELEGRAPH_OFFICES DOUBLE PRECISION,
	NUMBER_OF_POST_AND_TELEGRAPH_OFFICES DOUBLE PRECISION,
	NUMBER_OF_TELEPHONE_CONNECTIONS DOUBLE PRECISION
);"
FACT_EDUCATION,Educational facilities and infrastructure,"DROP TABLE IF EXISTS FACT_EDUCATION CASCADE;
CREATE TABLE FACT_EDUCATION (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	NUMBER_OF_PRIMARY_SCHOOLS DOUBLE PRECISION,
	NUMBER_OF_MIDDLE_SCHOOLS DOUBLE PRECISION,
	NUMBER_OF_SECONDARY_SCHOOLS DOUBLE PRECISION,
	NUMBER_OF_SENIOR_SECONDARY_SCHOOLS DOUBLE PRECISION,
	NUMBER_OF_INDUSTRIAL_SCHOOLS DOUBLE PRECISION,
	NUMBER_OF_ADULT_LITERACY_CLASS_CENTRES DOUBLE PRECISION,
	NUMBER_OF_OTHER_EDUCATIONAL_FACILITIES DOUBLE PRECISION
);"
FACT_FINANCIAL_SERVICES,Banking and credit society infrastructure,"DROP TABLE IF EXISTS FACT_FINANCIAL_SERVICES CASCADE;
CREATE TABLE FACT_FINANCIAL_SERVICES (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	NUMBER_OF_COMMERCIAL_BANKS DOUBLE PRECISION,
	NUMBER_OF_CO_OPERATIVE_COMMERCIAL_BANKS DOUBLE PRECISION,
	NUMBER_OF_AGRICULTURAL_CREDIT_SOCIETIES DOUBLE PRECISION,
	NUMBER_OF_NON_AGRICULTURAL_CREDIT_SOCIETIES DOUBLE PRECISION,
	NUMBER_OF_OTHER_CREDIT_SOCIETIES DOUBLE PRECISION
);"
FACT_HEALTHCARE_FACILITIES,Healthcare infrastructure and medical facilities,"DROP TABLE IF EXISTS FACT_HEALTHCARE_FACILITIES CASCADE;
CREATE TABLE FACT_HEALTHCARE_FACILITIES (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	NUMBER_OF_ALLOPATHIC_HOSPITALS DOUBLE PRECISION,
	NUMBER_OF_ALLOPATHIC_DISPENSARIES DOUBLE PRECISION,
	NUMBER_OF_AYURVEDIC_DISPENSARY DOUBLE PRECISION,
	NUMBER_OF_UNANI_DISPENSARIES DOUBLE PRECISION,
	NUMBER_OF_HOMEOPATHIC_DISPENSARIES DOUBLE PRECISION,
	NUMBER_OF_NURSING_HOMES DOUBLE PRECISION,
	NUMBER_OF_OTHER_MEDICAL_FACILITIES DOUBLE PRECISION
);"
FACT_MATERNITY_CHILD_CARE,"Maternity, child welfare, and primary healthcare centers","DROP TABLE IF EXISTS FACT_MATERNITY_CHILD_CARE CASCADE;
CREATE TABLE FACT_MATERNITY_CHILD_CARE (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	NUMBER_OF_MATERNITY_AND_CHILD_WELFARE_CENTRES DOUBLE PRECISION,
	NUMBER_OF_MATERNITY_HOMES DOUBLE PRECISION,
	NUMBER_OF_CHILD_WELFARE_CENTRES DOUBLE PRECISION,
	NUMBER_OF_HEALTH_CENTRES DOUBLE PRECISION,
	NUMBER_OF_PRIMARY_HEALTH_CENTRES DOUBLE PRECISION,
	NUMBER_OF_PRIMARY_HEALTH_SUB_CENTRES DOUBLE PRECISION,
	NUMBER_OF_FAMILY_WELFARE_CENTRES DOUBLE PRECISION
);"
FACT_MEDICAL_PERSONNEL,Healthcare workforce and medical practitioners,"DROP TABLE IF EXISTS FACT_MEDICAL_PERSONNEL CASCADE;
CREATE TABLE FACT_MEDICAL_PERSONNEL (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	NUMBER_OF_REGISTERED_PRIVATE_MEDICAL_PRACTITIONERS DOUBLE PRECISION,
	NUMBER_OF_SUBSIDED_MEDICAL_PRACTITIONERS DOUBLE PRECISION,
	NUMBER_OF_COMMUNITY_HEALTH_WORKERS DOUBLE PRECISION
);"
FACT_POPULATION,Demographic population statistics,"DROP TABLE IF EXISTS FACT_POPULATION CASCADE;
CREATE TABLE FACT_POPULATION (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	NUMBER_OF_HOUSEHOLDS DOUBLE PRECISION,
	RURAL_POPULATION DOUBLE PRECISION,
	MALE_RURAL_POPULATION DOUBLE PRECISION,
	FEMALE_RURAL_POPULATION DOUBLE PRECISION,
	SCHEDULED_CASTES_RURAL_POPULATION DOUBLE PRECISION,
	MALE_SCHEDULED_CASTE_RURAL_POPULATION DOUBLE PRECISION,
	FEMALE_SCHEDULED_CASTE_RURAL_POPULATION DOUBLE PRECISION,
	SCHEDULED_TRIBES_RURAL_POPULATION DOUBLE PRECISION,
	MALE_SCHEDULED_TRIBES_RURAL_POPULATION DOUBLE PRECISION,
	FEMALE_SCHEDULED_TRIBES_RURAL_POPULATION DOUBLE PRECISION
);"
FACT_RECREATION_SPORTS,Entertainment and sports facilities,"DROP TABLE IF EXISTS FACT_RECREATION_SPORTS CASCADE;
CREATE TABLE FACT_RECREATION_SPORTS (
	SUB_DISTRICT_ID BIGINT PRIMARY KEY,
	NUMBER_OF_CINEMA_VIDEO_HALLS DOUBLE PRECISION,
	NUMBER_OF_SPORTS_CLUBS DOUBLE PRECISION,
	NUMBER_OF_STADIUMS_OR_AUDITORIUMS DOUBLE PRECISION
);"
