table_name,description,DDL
DIM_STATE,State-level geographic dimension,"DROP TABLE IF EXISTS DIM_STATE CASCADE;
CREATE TABLE DIM_STATE (
	STATE_ID BIGINT PRIMARY KEY,
	STATEID BIGINT
);"
DIM_DISTRICT,District-level geographic dimension,"DROP TABLE IF EXISTS DIM_DISTRICT CASCADE;
CREATE TABLE DIM_DISTRICT (
	DISTRICT_ID BIGINT PRIMARY KEY,
	STATE_ID BIGINT,
	DISTID BIGINT,
	FOREIGN KEY (STATE_ID) REFERENCES DIM_STATE (STATE_ID)
);"
DIM_PSU_VILLAGE,Primary Sampling Unit/Village-level geographic dimension,"DROP TABLE IF EXISTS DIM_PSU_VILLAGE CASCADE;
CREATE TABLE DIM_PSU_VILLAGE (
	PSU_VILLAGE_ID BIGINT PRIMARY KEY,
	DISTRICT_ID BIGINT,
	PSUID BIGINT,
	FOREIGN KEY (DISTRICT_ID) REFERENCES DIM_DISTRICT (DISTRICT_ID)
);"
DIM_HOUSEHOLD,Household identification and structure,"DROP TABLE IF EXISTS DIM_HOUSEHOLD CASCADE;
CREATE TABLE DIM_HOUSEHOLD (
	HOUSEHOLD_ID BIGINT PRIMARY KEY,
	PSU_VILLAGE_ID BIGINT,
	HHID BIGINT,
	HHSPLITID BIGINT,
	FOREIGN KEY (PSU_VILLAGE_ID) REFERENCES DIM_PSU_VILLAGE (PSU_VILLAGE_ID)
);"
DIM_MOTHER_DEMOGRAPHICS,Mother's birth and age information,"DROP TABLE IF EXISTS DIM_MOTHER_DEMOGRAPHICS CASCADE;
CREATE TABLE DIM_MOTHER_DEMOGRAPHICS (
	MOTHER_ID BIGINT PRIMARY KEY,
	EW6C BIGINT,
	EW6F BIGINT,
	EW5C BIGINT
);"
DIM_MOTHER_MARRIAGE_EVENTS,Mother's marriage events (current and first),"DROP TABLE IF EXISTS DIM_MOTHER_MARRIAGE_EVENTS CASCADE;
CREATE TABLE DIM_MOTHER_MARRIAGE_EVENTS (
	MOTHER_MARRIAGE_ID BIGINT PRIMARY KEY,
	MOTHER_ID BIGINT,
	MH1BC BIGINT,
	MH1BF BIGINT,
	MH1AC BIGINT,
	MH18BC VARCHAR(20),
	MH18BF VARCHAR(20),
	MH18AC VARCHAR(20),
	FOREIGN KEY (MOTHER_ID) REFERENCES DIM_MOTHER_DEMOGRAPHICS (MOTHER_ID)
);"
DIM_MOTHER_GAUNA_EVENTS,Mother's gauna (cohabitation) events (current and first),"DROP TABLE IF EXISTS DIM_MOTHER_GAUNA_EVENTS CASCADE;
CREATE TABLE DIM_MOTHER_GAUNA_EVENTS (
	MOTHER_GAUNA_ID BIGINT PRIMARY KEY,
	MOTHER_ID BIGINT,
	MH2BC BIGINT,
	MH2BF BIGINT,
	MH2AC BIGINT,
	MH19BC VARCHAR(20),
	MH19BF VARCHAR(20),
	MH19AC VARCHAR(20),
	FOREIGN KEY (MOTHER_ID) REFERENCES DIM_MOTHER_DEMOGRAPHICS (MOTHER_ID)
);"
DIM_CHILD_DEMOGRAPHICS,Child's demographic and vital status information,"DROP TABLE IF EXISTS DIM_CHILD_DEMOGRAPHICS CASCADE;
CREATE TABLE DIM_CHILD_DEMOGRAPHICS (
	CHILD_ID BIGINT PRIMARY KEY,
	BH3 BIGINT,
	BH4C BIGINT,
	BH4F BIGINT,
	BH7C VARCHAR(20),
	BH7F VARCHAR(20),
	BH6 BIGINT
);"
DIM_SURVEY,Survey interview metadata,"DROP TABLE IF EXISTS DIM_SURVEY CASCADE;
CREATE TABLE DIM_SURVEY (
	SURVEY_ID BIGINT PRIMARY KEY,
	CD2C BIGINT
);"
FACT_BIRTH_EVENT,Core birth event fact table linking all dimensions,"DROP TABLE IF EXISTS FACT_BIRTH_EVENT CASCADE;
CREATE TABLE FACT_BIRTH_EVENT (
	BIRTH_EVENT_ID BIGINT PRIMARY KEY,
	CHILD_ID BIGINT,
	MOTHER_ID BIGINT,
	HOUSEHOLD_ID BIGINT,
	SURVEY_ID BIGINT,
	BH2 BIGINT,
	FOREIGN KEY (CHILD_ID) REFERENCES DIM_CHILD_DEMOGRAPHICS (CHILD_ID),
	FOREIGN KEY (MOTHER_ID) REFERENCES DIM_MOTHER_DEMOGRAPHICS (MOTHER_ID),
	FOREIGN KEY (HOUSEHOLD_ID) REFERENCES DIM_HOUSEHOLD (HOUSEHOLD_ID),
	FOREIGN KEY (SURVEY_ID) REFERENCES DIM_SURVEY (SURVEY_ID)
);"
