STATE,DISTRICT,TOTAL_HOUSEHOLDS
Andhra Pradesh,East Godavari,1210427.0
Andhra Pradesh,Guntur,1062518.0
Andhra Pradesh,Krishna,1001888.0
Andhra Pradesh,West Godavari,960278.0
Andhra Pradesh,Chittoor,838481.0
Andhra Pradesh,Visakhapatanam,785630.0
Andhra Pradesh,Anantapur,781509.0
Andhra Pradesh,Prakasam,701015.0
Andhra Pradesh,Kurnool,679514.0
Andhra Pradesh,Spsr Nellore,637727.0
Andhra Pradesh,Srikakulam,580055.0
Andhra Pradesh,Y.S.R.,521614.0
Andhra Pradesh,Vizianagaram,511943.0
Andaman And Nicobar Islands,South Andamans,46435.0
Arunachal Pradesh,Changlang,25588.0
Arunachal Pradesh,Papum Pare,24636.0
Andaman And Nicobar Islands,North And Middle Andaman,23732.0
Arunachal Pradesh,Namsai,16049.0
Arunachal Pradesh,Lower Subansiri,11448.0
Arunachal Pradesh,East Siang,10609.0
