STATE,DISTRICT,ST_POPULATION,ST_PERCENTAGE
Arunachal Pradesh,Tawang,2946.0,99.29
Arunachal Pradesh,Kamle,14225.0,94.32
Arunachal Pradesh,Shi Yomi,9622.0,93.7
Arunachal Pradesh,Longding,46767.0,91.66
Arunachal Pradesh,Siang,25537.0,90.18
Arunachal Pradesh,East Kameng,41244.0,88.96
Arunachal Pradesh,Leparada,25727.0,82.59
Arunachal Pradesh,Anjaw,14344.0,77.38
Arunachal Pradesh,Pakke Kessang,8341.0,77.12
Arunachal Pradesh,Lower Siang,15654.0,75.54
Arunachal Pradesh,Kurung Kumey,26397.0,72.47
Arunachal Pradesh,East Siang,42160.0,71.59
Arunachal Pradesh,Lower Subansiri,38625.0,71.1
Andaman And Nicobar Islands,Nicobars,26565.0,63.15
Arunachal Pradesh,Kra Daadi,21125.0,63.12
Arunachal Pradesh,Papum Pare,69007.0,56.56
Arunachal Pradesh,Dibang Valley,7185.0,52.29
Arunachal Pradesh,Lower Dibang Valley,20243.0,43.76
Arunachal Pradesh,Changlang,49523.0,36.74
Arunachal Pradesh,Namsai,31477.0,36.73
