STATE,DISTRICT,SUB_DISTRICT_COUNT,VILLAGE_COUNT
Andhra Pradesh,Visakhapatanam,40,2662
Andhra Pradesh,Srikakulam,39,1514
Andhra Pradesh,East Godavari,63,1431
Andhra Pradesh,Chittoor,67,1384
Andhra Pradesh,Vizianagaram,34,1362
Andhra Pradesh,Spsr Nellore,47,1051
Andhra Pradesh,Prakasam,57,945
Andhra Pradesh,Krishna,50,881
Andhra Pradesh,Anantapur,64,878
Andhra Pradesh,West Godavari,49,836
Andhra Pradesh,Kurnool,54,821
Andhra Pradesh,Y.S.R.,52,815
Andhra Pradesh,Guntur,59,648
Arunachal Pradesh,Changlang,17,332
Arunachal Pradesh,Anjaw,9,269
Arunachal Pradesh,Papum Pare,18,267
Arunachal Pradesh,East Kameng,12,248
Arunachal Pradesh,Kurung Kumey,9,234
Andaman And Nicobar Islands,North And Middle Andaman,3,206
Arunachal Pradesh,Kra Daadi,7,196
