STATE,DISTRICT,LITERACY_RATE,RANK_IN_STATE
Andaman And Nicobar Islands,South Andamans,74.54,1
Andaman And Nicobar Islands,North And Middle Andaman,67.41,2
Andaman And Nicobar Islands,Nicobars,63.08,3
Andhra Pradesh,West Godavari,64.26,1
Andhra Pradesh,Krishna,60.61,2
Andhra Pradesh,Chittoor,58.07,3
Andhra Pradesh,Spsr Nellore,57.1,4
Andhra Pradesh,East Godavari,56.67,5
Andhra Pradesh,Guntur,54.96,6
Andhra Pradesh,Y.S.R.,53.21,7
Andhra Pradesh,Visakhapatanam,50.46,8
Andhra Pradesh,Prakasam,50.05,9
Andhra Pradesh,Anantapur,48.8,10
Andhra Pradesh,Srikakulam,47.99,11
Andhra Pradesh,Kurnool,44.69,12
Andhra Pradesh,Vizianagaram,44.23,13
Arunachal Pradesh,Papum Pare,57.36,1
Arunachal Pradesh,Dibang Valley,56.89,2
Arunachal Pradesh,Lower Subansiri,56.05,3
Arunachal Pradesh,East Siang,52.78,4
Arunachal Pradesh,Leparada,52.09,5
Arunachal Pradesh,Lower Siang,49.33,6
Arunachal Pradesh,Lower Dibang Valley,46.37,7
Arunachal Pradesh,Namsai,45.68,8
Arunachal Pradesh,Lohit,45.66,9
Arunachal Pradesh,Kra Daadi,41.99,10
Arunachal Pradesh,Siang,41.89,11
Arunachal Pradesh,Changlang,41.77,12
Arunachal Pradesh,Pakke Kessang,36.99,13
Arunachal Pradesh,Kamle,35.46,14
Arunachal Pradesh,Kurung Kumey,33.82,15
Arunachal Pradesh,Shi Yomi,31.04,16
Arunachal Pradesh,Anjaw,30.95,17
Arunachal Pradesh,East Kameng,30.92,18
Arunachal Pradesh,Longding,22.84,19
Arunachal Pradesh,Tawang,15.44,20
