STATE,DISTRICT,TOTAL_WORKERS,FEMALE_WORKER_PCT,FEMALE_PARTICIPATION_LEVEL
Arunachal Pradesh,Tawang,1833.0,51.94,High
Arunachal Pradesh,Kamle,6684.0,48.89,High
Arunachal Pradesh,Longding,26161.0,47.03,High
Arunachal Pradesh,East Kameng,21372.0,46.38,High
Arunachal Pradesh,Siang,12258.0,44.47,High
Arunachal Pradesh,Pakke Kessang,4577.0,44.44,High
Arunachal Pradesh,Kurung Kumey,16805.0,43.31,High
Andhra Pradesh,Vizianagaram,1169228.0,43.02,High
Andhra Pradesh,Kurnool,1709188.0,42.31,High
Andhra Pradesh,Prakasam,1535261.0,41.82,High
Arunachal Pradesh,Lower Siang,8078.0,41.66,High
Arunachal Pradesh,Shi Yomi,4270.0,41.59,High
Arunachal Pradesh,Changlang,62200.0,41.58,High
Andhra Pradesh,Srikakulam,1197291.0,40.87,High
Arunachal Pradesh,Kra Daadi,14677.0,40.51,High
Andhra Pradesh,Anantapur,1782639.0,39.5,Medium
Arunachal Pradesh,Anjaw,9566.0,39.48,Medium
Andhra Pradesh,Guntur,2165607.0,39.45,Medium
Arunachal Pradesh,Lower Subansiri,20917.0,38.16,Medium
Andhra Pradesh,Y.S.R.,1065588.0,37.52,Medium
Andhra Pradesh,Chittoor,1733356.0,37.49,Medium
Arunachal Pradesh,East Siang,23275.0,37.41,Medium
Arunachal Pradesh,Lower Dibang Valley,20748.0,37.38,Medium
Arunachal Pradesh,Leparada,11543.0,37.22,Medium
Arunachal Pradesh,Namsai,35901.0,35.34,Medium
Andhra Pradesh,Spsr Nellore,1205217.0,35.28,Medium
Andhra Pradesh,Visakhapatanam,1469264.0,34.97,Medium
Andhra Pradesh,Krishna,1824132.0,33.18,Medium
Arunachal Pradesh,Papum Pare,44132.0,32.69,Medium
Andhra Pradesh,West Godavari,1709133.0,32.01,Medium
Arunachal Pradesh,Lohit,11958.0,31.23,Medium
Andaman And Nicobar Islands,Nicobars,19623.0,29.67,Medium
Andhra Pradesh,East Godavari,1980045.0,26.82,Medium
Arunachal Pradesh,Dibang Valley,6076.0,25.54,Medium
Andaman And Nicobar Islands,North And Middle Andaman,40136.0,22.94,Low
Andaman And Nicobar Islands,South Andamans,76495.0,15.77,Low
