STATE,DISTRICT,POPULATION,STATE_TOTAL,PCT_OF_STATE
Andaman And Nicobar Islands,South Andamans,208471.0,356152.0,58.53
Andaman And Nicobar Islands,North And Middle Andaman,105613.0,356152.0,29.65
Andaman And Nicobar Islands,Nicobars,42068.0,356152.0,11.81
Andhra Pradesh,East Godavari,4934894.0,44281453.0,11.14
Andhra Pradesh,Guntur,4398923.0,44281453.0,9.93
Andhra Pradesh,Krishna,4146220.0,44281453.0,9.36
Andhra Pradesh,West Godavari,3857768.0,44281453.0,8.71
Andhra Pradesh,Chittoor,3700768.0,44281453.0,8.36
Andhra Pradesh,Anantapur,3651377.0,44281453.0,8.25
Andhra Pradesh,Kurnool,3431240.0,44281453.0,7.75
Andhra Pradesh,Visakhapatanam,3397811.0,44281453.0,7.67
Andhra Pradesh,Prakasam,3053190.0,44281453.0,6.89
Andhra Pradesh,Spsr Nellore,2655451.0,44281453.0,6.0
Andhra Pradesh,Srikakulam,2527469.0,44281453.0,5.71
Andhra Pradesh,Y.S.R.,2290320.0,44281453.0,5.17
Andhra Pradesh,Vizianagaram,2236022.0,44281453.0,5.05
Arunachal Pradesh,Changlang,134799.0,848666.0,15.88
Arunachal Pradesh,Papum Pare,122003.0,848666.0,14.38
Arunachal Pradesh,Namsai,85705.0,848666.0,10.1
Arunachal Pradesh,East Siang,58892.0,848666.0,6.94
Arunachal Pradesh,Lower Subansiri,54326.0,848666.0,6.4
Arunachal Pradesh,Longding,51022.0,848666.0,6.01
Arunachal Pradesh,East Kameng,46363.0,848666.0,5.46
Arunachal Pradesh,Lower Dibang Valley,46260.0,848666.0,5.45
Arunachal Pradesh,Kurung Kumey,36423.0,848666.0,4.29
Arunachal Pradesh,Kra Daadi,33466.0,848666.0,3.94
Arunachal Pradesh,Leparada,31151.0,848666.0,3.67
Arunachal Pradesh,Siang,28317.0,848666.0,3.34
Arunachal Pradesh,Lohit,27806.0,848666.0,3.28
Arunachal Pradesh,Lower Siang,20722.0,848666.0,2.44
Arunachal Pradesh,Anjaw,18536.0,848666.0,2.18
Arunachal Pradesh,Kamle,15082.0,848666.0,1.78
Arunachal Pradesh,Dibang Valley,13741.0,848666.0,1.62
Arunachal Pradesh,Pakke Kessang,10816.0,848666.0,1.27
Arunachal Pradesh,Shi Yomi,10269.0,848666.0,1.21
Arunachal Pradesh,Tawang,2967.0,848666.0,0.35
