STATE,DISTRICT,SUB_DISTRICT,POPULATION,VILLAGE_COUNT,AVG_VILLAGE_POPULATION,RANK_IN_STATE
Andaman And Nicobar Islands,South Andamans,Port Blair,142317.0,36,3953.0,1
Andaman And Nicobar Islands,South Andamans,Ferrargunj,48626.0,71,685.0,2
Andaman And Nicobar Islands,North And Middle Andaman,Diglipur,42877.0,74,579.0,3
Andaman And Nicobar Islands,North And Middle Andaman,Rangat,38824.0,87,446.0,4
Andaman And Nicobar Islands,North And Middle Andaman,Mayabunder,23912.0,47,509.0,5
Andaman And Nicobar Islands,Nicobars,Car Nicobar,20292.0,16,1268.0,6
Andaman And Nicobar Islands,South Andamans,Little Andaman,17528.0,18,974.0,7
Andaman And Nicobar Islands,Nicobars,Nancowry,13562.0,95,143.0,8
Andaman And Nicobar Islands,Nicobars,Great Nicobar,8214.0,58,142.0,9
Andhra Pradesh,Visakhapatanam,Unknown Subdistricts Of India,999678.0,9,111075.0,1
Andhra Pradesh,Krishna,Unknown Subdistricts Of India,869127.0,1,869127.0,2
Andhra Pradesh,Guntur,Guntur,562618.0,6,93770.0,3
Andhra Pradesh,Spsr Nellore,Nellore,480190.0,28,17150.0,4
Andhra Pradesh,East Godavari,Rajahmundry Rural,452963.0,7,64709.0,5
Andhra Pradesh,East Godavari,Kakinada (Rural),381117.0,12,31760.0,6
Andhra Pradesh,Kurnool,Unknown Subdistricts Of India,305601.0,5,61120.0,7
Andhra Pradesh,Prakasam,Unknown Subdistricts Of India,299025.0,3,99675.0,8
Andhra Pradesh,West Godavari,Eluru,285900.0,18,15883.0,9
Andhra Pradesh,Chittoor,Unknown Subdistricts Of India,278729.0,2,139365.0,10
Andhra Pradesh,Krishna,Machilipatnam,250521.0,28,8947.0,11
Andhra Pradesh,Anantapur,Unknown Subdistricts Of India,243143.0,1,243143.0,12
Andhra Pradesh,Kurnool,Adoni,239209.0,37,6465.0,13
Andhra Pradesh,Vizianagaram,Vizianagaram,227994.0,17,13411.0,14
Andhra Pradesh,Y.S.R.,Proddatur,225398.0,16,14087.0,15
Andhra Pradesh,Guntur,Tenali,224107.0,12,18676.0,16
Andhra Pradesh,West Godavari,Bhimavaram,219212.0,14,15658.0,17
Andhra Pradesh,Kurnool,Nandyal,212235.0,18,11791.0,18
Andhra Pradesh,Chittoor,Chittoor,207419.0,33,6285.0,19
Andhra Pradesh,West Godavari,Tadepalligudem,183401.0,18,10189.0,20
Andhra Pradesh,Chittoor,Madanapalle,182436.0,14,13031.0,21
Andhra Pradesh,Guntur,Narasaraopet,179688.0,15,11979.0,22
Andhra Pradesh,Visakhapatanam,Anakapalle,176822.0,33,5358.0,23
Andhra Pradesh,Anantapur,Hindupur,170643.0,15,11376.0,24
Andhra Pradesh,Anantapur,Guntakal,159535.0,19,8397.0,25
Andhra Pradesh,Krishna,Gudivada,152211.0,27,5637.0,26
Andhra Pradesh,Guntur,Chilakaluripet H/O.Purushotha Patnam,147179.0,14,10513.0,27
Andhra Pradesh,Anantapur,Dharmavaram,147176.0,13,11321.0,28
Andhra Pradesh,Kurnool,Yemmiganur,142119.0,19,7480.0,29
Andhra Pradesh,Spsr Nellore,Kavali,140453.0,15,9364.0,30
Andhra Pradesh,West Godavari,Tanuku,140181.0,9,15576.0,31
Andhra Pradesh,West Godavari,Narasapuram,139084.0,15,9272.0,32
Andhra Pradesh,Anantapur,Tadpatri,137811.0,28,4922.0,33
Andhra Pradesh,Guntur,Bapatla,137522.0,18,7640.0,34
Andhra Pradesh,East Godavari,Amalapuram,134785.0,18,7488.0,35
Andhra Pradesh,Guntur,Tadepalle,132291.0,10,13229.0,36
Andhra Pradesh,East Godavari,Samalkota,131548.0,18,7308.0,37
Andhra Pradesh,Guntur,Mangalagiri,130161.0,10,13016.0,38
Andhra Pradesh,East Godavari,Tuni,127457.0,21,6069.0,39
Andhra Pradesh,West Godavari,Palacole,126300.0,17,7429.0,40
Andhra Pradesh,Chittoor,Srikalahasti,124918.0,62,2015.0,41
Andhra Pradesh,East Godavari,Pithapuram,123809.0,27,4586.0,42
Andhra Pradesh,Guntur,Ponnur,123067.0,19,6477.0,43
Andhra Pradesh,Srikakulam,Unknown Subdistricts Of India,119548.0,1,119548.0,44
Andhra Pradesh,East Godavari,Peddapuram,118045.0,21,5621.0,45
Andhra Pradesh,Krishna,Penamaluru,117914.0,9,13102.0,46
Andhra Pradesh,Krishna,Nuzvid,116665.0,26,4487.0,47
Andhra Pradesh,Vizianagaram,Bobbili,116213.0,39,2980.0,48
Andhra Pradesh,West Godavari,Nidadavole,111908.0,23,4866.0,49
Andhra Pradesh,East Godavari,Ramachandrapuram,110162.0,21,5246.0,50
Andhra Pradesh,Vizianagaram,Parvathipuram,108289.0,47,2304.0,51
Andhra Pradesh,Anantapur,Kadiri,108222.0,17,6366.0,52
Andhra Pradesh,West Godavari,Kovvur,108159.0,16,6760.0,53
Andhra Pradesh,Krishna,Jaggayyapeta,107290.0,24,4470.0,54
Andhra Pradesh,Prakasam,Markapur,106863.0,22,4857.0,55
Andhra Pradesh,Guntur,Piduguralla,105870.0,10,10587.0,56
Andhra Pradesh,Guntur,Repalle,104194.0,17,6129.0,57
Andhra Pradesh,Chittoor,Kuppam,102947.0,62,1660.0,58
Andhra Pradesh,Kurnool,Dhone,102005.0,16,6375.0,59
Andhra Pradesh,Y.S.R.,Rayachoti,101455.0,16,6341.0,60
Andhra Pradesh,Vizianagaram,Salur,101386.0,82,1236.0,61
Andhra Pradesh,Visakhapatanam,Bheemunipatnam,99620.0,20,4981.0,62
Andhra Pradesh,West Godavari,Jangareddigudem,95251.0,20,4763.0,63
Andhra Pradesh,Chittoor,Punganur,94784.0,19,4989.0,64
Andhra Pradesh,East Godavari,Rajanagaram,92916.0,17,5466.0,65
Andhra Pradesh,Anantapur,Rayadurg,92490.0,15,6166.0,66
Andhra Pradesh,Guntur,Macherla,92094.0,11,8372.0,67
Andhra Pradesh,Y.S.R.,Rajampet,91417.0,22,4155.0,68
Andhra Pradesh,Krishna,Ibrahimpatnam,91254.0,15,6084.0,69
Andhra Pradesh,Kurnool,Banaganapalle,89030.0,38,2343.0,70
Andhra Pradesh,Srikakulam,Palasa,87850.0,50,1757.0,71
Andhra Pradesh,Visakhapatanam,Narsipatnam,85974.0,13,6613.0,72
Andhra Pradesh,Krishna,Nandigama,85405.0,25,3416.0,73
Andhra Pradesh,West Godavari,Chintalapudi,84929.0,36,2359.0,74
Andhra Pradesh,Srikakulam,Amadalavalasa,83945.0,37,2269.0,75
Andhra Pradesh,East Godavari,Kadiam,83857.0,7,11980.0,76
Andhra Pradesh,Visakhapatanam,Chodavaram,83801.0,31,2703.0,77
Andhra Pradesh,Visakhapatanam,Payakaraopeta,83727.0,19,4407.0,78
Andhra Pradesh,Krishna,Bapulapadu,83286.0,28,2975.0,79
Andhra Pradesh,Prakasam,Kanigiri,82491.0,34,2426.0,80
Andhra Pradesh,Srikakulam,Etcherla,82051.0,27,3039.0,81
Andhra Pradesh,East Godavari,Thondangi,82005.0,15,5467.0,82
Andhra Pradesh,West Godavari,Pedavegi,81355.0,27,3013.0,83
Andhra Pradesh,Anantapur,Kalyandurg,81086.0,16,5068.0,84
Andhra Pradesh,Srikakulam,Rajam,80596.0,28,2878.0,85
Andhra Pradesh,Krishna,Gannavaram,80404.0,23,3496.0,86
Andhra Pradesh,East Godavari,Thallarevu,79912.0,13,6147.0,87
Andhra Pradesh,Prakasam,Kandukur,79896.0,17,4700.0,88
Andhra Pradesh,Y.S.R.,Kodur,79517.0,14,5680.0,89
Andhra Pradesh,East Godavari,Prathipadu,78914.0,35,2255.0,90
Andhra Pradesh,Prakasam,Giddalur,78462.0,18,4359.0,91
Andhra Pradesh,Anantapur,Gooty,78099.0,23,3396.0,92
Andhra Pradesh,Kurnool,Bethamcherla,77579.0,11,7053.0,93
Andhra Pradesh,Srikakulam,Ranastalam,77436.0,55,1408.0,94
Andhra Pradesh,East Godavari,Kothapalle,77366.0,16,4835.0,95
Andhra Pradesh,West Godavari,Unguturu,77239.0,17,4543.0,96
Andhra Pradesh,East Godavari,Ravulapalem,76944.0,11,6995.0,97
Andhra Pradesh,East Godavari,Kothapeta,76866.0,10,7687.0,98
Andhra Pradesh,Srikakulam,Ichchapuram,76747.0,25,3070.0,99
Andhra Pradesh,East Godavari,Korukonda,76645.0,18,4258.0,100
Andhra Pradesh,Chittoor,Tirupati (Urban),76505.0,6,12751.0,101
Andhra Pradesh,Srikakulam,Mandasa,76402.0,76,1005.0,102
Andhra Pradesh,East Godavari,Gollaprolu,76352.0,10,7635.0,103
Andhra Pradesh,East Godavari,Yeleswaram,76285.0,12,6357.0,104
Andhra Pradesh,East Godavari,Mandapeta,76229.0,13,5864.0,105
Andhra Pradesh,Anantapur,Anantapur,75984.0,19,3999.0,106
Andhra Pradesh,Spsr Nellore,Sullurpeta,75928.0,40,1898.0,107
