STATE,DISTRICT,SC_ST_PCT,LITERACY_RATE
Arunachal Pradesh,Kamle,94.32,35.46
Arunachal Pradesh,Shi Yomi,93.81,31.04
Arunachal Pradesh,Longding,91.68,22.84
Arunachal Pradesh,Siang,90.28,41.89
Arunachal Pradesh,East Kameng,89.17,30.92
Arunachal Pradesh,Leparada,82.95,52.09
Arunachal Pradesh,Anjaw,77.49,30.95
Arunachal Pradesh,Pakke Kessang,77.12,36.99
Arunachal Pradesh,Lower Siang,75.73,49.33
Arunachal Pradesh,Kurung Kumey,74.0,33.82
Arunachal Pradesh,East Siang,72.12,52.78
Arunachal Pradesh,Lower Subansiri,71.83,56.05
Arunachal Pradesh,Kra Daadi,63.42,41.99
Andaman And Nicobar Islands,Nicobars,63.15,63.08
Arunachal Pradesh,Papum Pare,57.71,57.36
Arunachal Pradesh,Dibang Valley,53.08,56.89
Arunachal Pradesh,Lower Dibang Valley,44.26,46.37
Arunachal Pradesh,Namsai,38.04,45.68
Arunachal Pradesh,Changlang,37.26,41.77
Arunachal Pradesh,Lohit,35.06,45.66
Andhra Pradesh,Spsr Nellore,31.11,57.1
Andhra Pradesh,Prakasam,25.17,50.05
Andhra Pradesh,Visakhapatanam,24.03,50.46
Andhra Pradesh,East Godavari,23.34,56.67
Andhra Pradesh,Guntur,23.09,54.96
Andhra Pradesh,West Godavari,22.28,64.26
Andhra Pradesh,Chittoor,22.24,58.07
Andhra Pradesh,Krishna,20.4,60.61
Andhra Pradesh,Vizianagaram,20.15,44.23
Andhra Pradesh,Kurnool,19.82,44.69
