STATE,DISTRICT,POPULATION,VILLAGES,POP_VS_STATE_AVG,DISTRICT_SIZE
Andhra Pradesh,East Godavari,4934894.0,1431,1.45,Medium
Andhra Pradesh,Guntur,4398923.0,648,1.29,Medium
Andhra Pradesh,Krishna,4146220.0,881,1.22,Medium
Andhra Pradesh,West Godavari,3857768.0,836,1.13,Medium
Andhra Pradesh,Chittoor,3700768.0,1384,1.09,Medium
Andhra Pradesh,Anantapur,3651377.0,878,1.07,Medium
Andhra Pradesh,Kurnool,3431240.0,821,1.01,Medium
Andhra Pradesh,Visakhapatanam,3397811.0,2662,1.0,Medium
Andhra Pradesh,Prakasam,3053190.0,945,0.9,Medium
Andhra Pradesh,Spsr Nellore,2655451.0,1051,0.78,Medium
Andhra Pradesh,Srikakulam,2527469.0,1514,0.74,Medium
Andhra Pradesh,Y.S.R.,2290320.0,815,0.67,Medium
Andhra Pradesh,Vizianagaram,2236022.0,1362,0.66,Medium
Andaman And Nicobar Islands,South Andamans,208471.0,125,1.76,Large
Arunachal Pradesh,Changlang,134799.0,332,3.18,Large
Arunachal Pradesh,Papum Pare,122003.0,267,2.88,Large
Andaman And Nicobar Islands,North And Middle Andaman,105613.0,206,0.89,Medium
Arunachal Pradesh,Namsai,85705.0,141,2.02,Large
Arunachal Pradesh,East Siang,58892.0,75,1.39,Medium
Arunachal Pradesh,Lower Subansiri,54326.0,149,1.28,Medium
Arunachal Pradesh,Longding,51022.0,67,1.2,Medium
Arunachal Pradesh,East Kameng,46363.0,248,1.09,Medium
Arunachal Pradesh,Lower Dibang Valley,46260.0,114,1.09,Medium
Andaman And Nicobar Islands,Nicobars,42068.0,168,0.35,Small
Arunachal Pradesh,Kurung Kumey,36423.0,234,0.86,Medium
Arunachal Pradesh,Kra Daadi,33466.0,196,0.79,Medium
Arunachal Pradesh,Leparada,31151.0,67,0.73,Medium
Arunachal Pradesh,Siang,28317.0,91,0.67,Medium
Arunachal Pradesh,Lohit,27806.0,80,0.66,Medium
Arunachal Pradesh,Lower Siang,20722.0,95,0.49,Small
Arunachal Pradesh,Anjaw,18536.0,269,0.44,Small
Arunachal Pradesh,Kamle,15082.0,101,0.36,Small
Arunachal Pradesh,Dibang Valley,13741.0,100,0.32,Small
Arunachal Pradesh,Pakke Kessang,10816.0,63,0.25,Small
Arunachal Pradesh,Shi Yomi,10269.0,90,0.24,Small
Arunachal Pradesh,Tawang,2967.0,24,0.07,Small
