STATE,DISTRICT,CHILDREN,CHILD_PCT,CHILD_SEX_RATIO,STATE_AVG_CHILD_SEX_RATIO,DEVIATION_FROM_STATE_AVG
Arunachal Pradesh,Dibang Valley,2072.0,15.08,885.0,961.9473684210526,-76.9473684210526
Arunachal Pradesh,Siang,5630.0,19.88,920.0,961.9473684210526,-41.9473684210526
Arunachal Pradesh,Lower Siang,3817.0,18.42,926.0,961.9473684210526,-35.9473684210526
Arunachal Pradesh,Lohit,5345.0,19.22,928.0,961.9473684210526,-33.9473684210526
Arunachal Pradesh,Kamle,3053.0,20.24,930.0,961.9473684210526,-31.9473684210526
Arunachal Pradesh,Anjaw,3570.0,19.26,932.0,961.9473684210526,-29.9473684210526
Arunachal Pradesh,Namsai,17803.0,20.77,936.0,961.9473684210526,-25.9473684210526
Andaman And Nicobar Islands,Nicobars,5390.0,12.81,937.0,954.3333333333334,-17.33333333333337
Arunachal Pradesh,Longding,10770.0,21.11,939.0,961.9473684210526,-22.9473684210526
Andaman And Nicobar Islands,South Andamans,24578.0,11.79,949.0,954.3333333333334,-5.333333333333371
Arunachal Pradesh,East Siang,10460.0,17.76,950.0,961.9473684210526,-11.947368421052602
Andhra Pradesh,Y.S.R.,300941.0,13.14,952.0,964.0,-12.0
Andhra Pradesh,Spsr Nellore,326730.0,12.3,954.0,964.0,-10.0
Arunachal Pradesh,Lower Dibang Valley,8789.0,19.0,954.0,961.9473684210526,-7.947368421052602
Andhra Pradesh,Prakasam,388528.0,12.73,955.0,964.0,-9.0
Andhra Pradesh,Chittoor,479323.0,12.95,956.0,964.0,-8.0
Andhra Pradesh,Kurnool,524454.0,15.28,958.0,964.0,-6.0
Andhra Pradesh,Anantapur,481398.0,13.18,958.0,964.0,-6.0
Andhra Pradesh,Guntur,529210.0,12.03,959.0,964.0,-5.0
Andhra Pradesh,Krishna,493585.0,11.9,963.0,964.0,-1.0
Arunachal Pradesh,Changlang,27053.0,20.07,964.0,961.9473684210526,2.0526315789473983
Andhra Pradesh,Srikakulam,334872.0,13.25,967.0,964.0,3.0
Arunachal Pradesh,Leparada,5604.0,17.99,969.0,961.9473684210526,7.052631578947398
Andhra Pradesh,West Godavari,468083.0,12.13,970.0,964.0,6.0
Andaman And Nicobar Islands,North And Middle Andaman,14813.0,14.03,977.0,954.3333333333334,22.66666666666663
Arunachal Pradesh,Papum Pare,21051.0,17.25,978.0,961.9473684210526,16.0526315789474
Andhra Pradesh,East Godavari,620677.0,12.58,979.0,964.0,15.0
Arunachal Pradesh,Kra Daadi,5648.0,16.88,979.0,961.9473684210526,17.0526315789474
Andhra Pradesh,Visakhapatanam,438925.0,12.92,980.0,964.0,16.0
Andhra Pradesh,Vizianagaram,294218.0,13.16,981.0,964.0,17.0
Arunachal Pradesh,Lower Subansiri,9408.0,17.32,981.0,961.9473684210526,19.0526315789474
Arunachal Pradesh,Pakke Kessang,2314.0,21.39,997.0,961.9473684210526,35.0526315789474
Arunachal Pradesh,Shi Yomi,1960.0,19.09,1010.0,961.9473684210526,48.0526315789474
Arunachal Pradesh,East Kameng,9746.0,21.02,1045.0,961.9473684210526,83.0526315789474
Arunachal Pradesh,Kurung Kumey,6510.0,17.87,1054.0,961.9473684210526,92.0526315789474
