STATE,DISTRICT,SUB_DISTRICT,VILLAGE_COUNT,TOTAL_POP,AVG_VILLAGE_POP,PCT_OF_DISTRICT,RANK_IN_DISTRICT
Andaman And Nicobar Islands,Nicobars,Car Nicobar,16,20292.0,1268.0,48.24,1
Andaman And Nicobar Islands,Nicobars,Nancowry,95,13562.0,143.0,32.24,2
Andaman And Nicobar Islands,Nicobars,Great Nicobar,58,8214.0,142.0,19.53,3
Andaman And Nicobar Islands,North And Middle Andaman,Diglipur,74,42877.0,579.0,40.6,1
Andaman And Nicobar Islands,North And Middle Andaman,Rangat,87,38824.0,446.0,36.76,2
Andaman And Nicobar Islands,North And Middle Andaman,Mayabunder,47,23912.0,509.0,22.64,3
Andaman And Nicobar Islands,South Andamans,Ferrargunj,70,41839.0,598.0,45.34,1
Andaman And Nicobar Islands,South Andamans,Port Blair,34,32906.0,968.0,35.66,2
Andaman And Nicobar Islands,South Andamans,Little Andaman,18,17528.0,974.0,19.0,3
Andhra Pradesh,Anantapur,Madakasira,19,73222.0,3854.0,2.69,1
Andhra Pradesh,Anantapur,Gorantla,18,69714.0,3873.0,2.56,2
Andhra Pradesh,Anantapur,Mudigubba,26,58212.0,2239.0,2.14,3
Andhra Pradesh,Anantapur,Kanekal,17,57559.0,3386.0,2.12,4
Andhra Pradesh,Anantapur,Anantapur,17,55930.0,3290.0,2.06,5
Andhra Pradesh,Anantapur,Bukkaraya Samudram,14,52985.0,3785.0,1.95,6
Andhra Pradesh,Anantapur,Parigi,16,52852.0,3303.0,1.94,7
Andhra Pradesh,Anantapur,Amarapuram,8,52717.0,6590.0,1.94,8
Andhra Pradesh,Anantapur,Kalyandurg,15,51820.0,3455.0,1.9,9
Andhra Pradesh,Anantapur,Narpala,12,51728.0,4311.0,1.9,10
Andhra Pradesh,Anantapur,Tadpatri,27,50968.0,1888.0,1.87,11
Andhra Pradesh,Anantapur,Penukonda,16,50796.0,3175.0,1.87,12
Andhra Pradesh,Anantapur,Bommanahal,16,50128.0,3133.0,1.84,13
Andhra Pradesh,Anantapur,Puttaparthi,12,50091.0,4174.0,1.84,14
Andhra Pradesh,Anantapur,Yadiki,14,49780.0,3556.0,1.83,15
Andhra Pradesh,Anantapur,Pamidi,22,49292.0,2241.0,1.81,16
Andhra Pradesh,Anantapur,Garladinne,18,49140.0,2730.0,1.81,17
Andhra Pradesh,Anantapur,Vidapanakal,14,48353.0,3454.0,1.78,18
Andhra Pradesh,Anantapur,Vajrakarur,16,48252.0,3016.0,1.77,19
Andhra Pradesh,Anantapur,Kundurpi,10,48205.0,4821.0,1.77,20
Andhra Pradesh,Anantapur,Gudibanda,13,47838.0,3680.0,1.76,21
Andhra Pradesh,Anantapur,Tanakal,18,47812.0,2656.0,1.76,22
Andhra Pradesh,Anantapur,Kambadur,12,46740.0,3895.0,1.72,23
Andhra Pradesh,Anantapur,Chilamathur,15,46399.0,3093.0,1.71,24
Andhra Pradesh,Anantapur,Roddam,21,45903.0,2186.0,1.69,25
Andhra Pradesh,Anantapur,Hindupur,14,45569.0,3255.0,1.67,26
Andhra Pradesh,Anantapur,Obuladevaracheruvu,14,44243.0,3160.0,1.63,27
Andhra Pradesh,Anantapur,Dharmavaram,12,43819.0,3652.0,1.61,28
Andhra Pradesh,Anantapur,Guntakal,18,42432.0,2357.0,1.56,29
Andhra Pradesh,Anantapur,Chennekothapalle,11,42308.0,3846.0,1.55,30
Andhra Pradesh,Anantapur,Gummagatta,11,42266.0,3842.0,1.55,31
Andhra Pradesh,Anantapur,Uravakonda,21,42249.0,2012.0,1.55,32
Andhra Pradesh,Anantapur,Lepakshi,10,42101.0,4210.0,1.55,33
Andhra Pradesh,Anantapur,Talupula,11,42019.0,3820.0,1.54,34
