k,tau,flagged_n,total_n,review_rate,review_pct
0.5,0.7451130321702605,1197,6092,0.19648719632304662,19.648719632304662
0.55,0.73993752362036,1125,6092,0.18466841759684832,18.466841759684833
0.6,0.7347620150704595,1065,6092,0.17481943532501643,17.481943532501642
0.65,0.7295865065205589,994,6092,0.16316480630334865,16.316480630334866
0.7,0.7244109979706584,940,6092,0.15430072225869992,15.430072225869992
0.75,0.7192354894207579,890,6092,0.14609323703217333,14.609323703217333
0.8,0.7140599808708574,825,6092,0.13542350623768878,13.542350623768879
0.85,0.7088844723209569,767,6092,0.12590282337491793,12.590282337491793
0.9,0.7037089637710563,720,6092,0.11818778726198292,11.818778726198293
0.95,0.6985334552211558,680,6092,0.11162179908076166,11.162179908076165
1.0,0.6933579466712553,648,6092,0.10636900853578464,10.636900853578464
1.05,0.6881824381213547,606,6092,0.0994747209455023,9.94747209455023
1.1,0.6830069295714543,578,6092,0.09487852921864741,9.487852921864741
1.15,0.6778314210215537,547,6092,0.08978988837820091,8.978988837820092
1.2,0.6726559124716531,521,6092,0.08552199606040709,8.552199606040709
1.25,0.6674804039217526,490,6092,0.0804333552199606,8.04333552199606
1.3,0.6623048953718521,465,6092,0.07632961260669731,7.632961260669731
1.35,0.6571293868219515,441,6092,0.07239001969796455,7.239001969796455
1.4,0.6519538782720511,416,6092,0.06828627708470125,6.828627708470125
1.45,0.6467783697221505,399,6092,0.06549573210768221,6.549573210768221
1.5,0.64160286117225,383,6092,0.06286933683519369,6.2869336835193685
1.55,0.6364273526223494,367,6092,0.06024294156270519,6.024294156270519
1.6,0.6312518440724489,349,6092,0.057288246881155615,5.728824688115561
1.65,0.6260763355225484,327,6092,0.05367695338148391,5.367695338148391
1.7,0.6209008269726479,311,6092,0.051050558108995406,5.1050558108995405
1.75,0.6157253184227474,294,6092,0.048260013131976365,4.8260013131976365
1.8,0.6105498098728468,277,6092,0.045469468154957324,4.546946815495732
1.85,0.6053743013229463,268,6092,0.043992120814182537,4.399212081418254
1.9,0.6001987927730458,262,6092,0.04300722258699934,4.300722258699934
1.95,0.5950232842231452,253,6092,0.041529875246224555,4.152987524622455
2.0,0.5898477756732448,238,6092,0.03906762967826658,3.906762967826658
