threshold_label,lang,flagged_n,total_n,flagged_rate,flagged_pct
mu_minus_1sigma,Bengali,10,1032,0.009689922480620155,0.9689922480620154
mu_minus_1sigma,Hindi,17,1032,0.016472868217054265,1.6472868217054266
mu_minus_1sigma,Hindi Romanized,497,932,0.5332618025751072,53.32618025751073
mu_minus_1sigma,Marathi,78,1032,0.0755813953488372,7.55813953488372
mu_minus_1sigma,Tamil,13,1032,0.012596899224806201,1.2596899224806202
mu_minus_1sigma,Telugu,33,1032,0.03197674418604651,3.1976744186046515
empirical_knee,Bengali,10,1032,0.009689922480620155,0.9689922480620154
empirical_knee,Hindi,17,1032,0.016472868217054265,1.6472868217054266
empirical_knee,Hindi Romanized,468,932,0.5021459227467812,50.21459227467812
empirical_knee,Marathi,69,1032,0.06686046511627906,6.686046511627906
empirical_knee,Tamil,10,1032,0.009689922480620155,0.9689922480620154
empirical_knee,Telugu,32,1032,0.031007751937984496,3.10077519379845
