k,tau,flagged_n,total_n,review_rate,review_pct
0.5,0.7783389168168379,985,5160,0.19089147286821706,19.089147286821706
0.55,0.774169002166352,924,5160,0.17906976744186046,17.906976744186046
0.6,0.7699990875158662,841,5160,0.16298449612403101,16.2984496124031
0.65,0.7658291728653804,767,5160,0.14864341085271318,14.864341085271318
0.7,0.7616592582148947,708,5160,0.1372093023255814,13.72093023255814
0.75,0.7574893435644088,649,5160,0.12577519379844962,12.577519379844961
0.8,0.753319428913923,588,5160,0.11395348837209303,11.395348837209303
0.85,0.7491495142634372,533,5160,0.10329457364341085,10.329457364341085
0.9,0.7449795996129515,494,5160,0.09573643410852713,9.573643410852712
0.95,0.7408096849624657,446,5160,0.08643410852713178,8.643410852713178
1.0,0.7366397703119798,408,5160,0.07906976744186046,7.906976744186046
1.05,0.732469855661494,371,5160,0.07189922480620155,7.1899224806201545
1.1,0.7282999410110083,336,5160,0.06511627906976744,6.511627906976744
1.15,0.7241300263605225,306,5160,0.05930232558139535,5.930232558139535
1.2,0.7199601117100366,284,5160,0.05503875968992248,5.503875968992248
1.25,0.7157901970595508,260,5160,0.050387596899224806,5.038759689922481
1.3,0.711620282409065,226,5160,0.043798449612403104,4.379844961240311
1.35,0.7074503677585793,204,5160,0.03953488372093023,3.953488372093023
1.4,0.7032804531080934,183,5160,0.035465116279069765,3.5465116279069764
1.45,0.6991105384576076,164,5160,0.03178294573643411,3.1782945736434107
1.5,0.6949406238071218,154,5160,0.029844961240310077,2.9844961240310077
1.55,0.690770709156636,145,5160,0.02810077519379845,2.810077519379845
1.6,0.6866007945061502,134,5160,0.025968992248062015,2.5968992248062017
1.65,0.6824308798556644,124,5160,0.024031007751937984,2.4031007751937983
1.7,0.6782609652051786,113,5160,0.021899224806201552,2.1899224806201554
1.75,0.6740910505546929,109,5160,0.02112403100775194,2.112403100775194
1.8,0.669921135904207,101,5160,0.019573643410852715,1.9573643410852715
1.85,0.6657512212537212,97,5160,0.018798449612403102,1.8798449612403103
1.9,0.6615813066032354,89,5160,0.017248062015503877,1.7248062015503878
1.95,0.6574113919527496,83,5160,0.01608527131782946,1.608527131782946
2.0,0.6532414773022639,79,5160,0.015310077519379845,1.5310077519379846
